Index	English	Japanese_Translation
17001	Admonitory Song of Suffering: Low Drone	苦難の諫歌：ローハム
17002	Season High-Energy Impact Switch bd@{1}	シーズン・ハイエナジーインパクト切替 bd@{1}
17003	Damage/Attack Speed (Weak Point Attack)	ダメージ/攻撃速度（弱点攻撃）
17004	Stage Boss: <color=#CC762A>${1}</color>	ステージボス：<color=#CC762A>${1}</color>
17005	Clear Floor ${1} of the Tower Challenge	タワーチャレンジ${1}階をクリア
17006	Claim Offline Battle rewards ${1} times	オフライン戦闘報酬を${1}回受け取る
17007	Realm of the Gods - Reward Count Rules:	神々の領域 - 報酬回数ルール：
17008	Trophy category parameters do not exist	トロフィーカテゴリーパラメータが存在しません
17009	Cannot set a mount in the current state	現在の状態ではマウントを設定できません
17010	Pet Search quantity requirement not met	ペット検索数の条件を満たしていません
17011	Already in the close friends Group Chat	すでに親しいフレンドのグループチャットに参加しています
17012	Appearance preset has not been unlocked	外見プリセットが未解放です
17013	Failed to add the monster to Favorites.	モンスターのお気に入り追加に失敗しました。
17014	Insufficient consumption. Invalid data.	消費量が不足しています。データが無効です。
17015	Sorry, the item could not be purchased.	申し訳ありません。このアイテムは購入できませんでした。
17016	This sapling has already been selected.	この苗木はすでに選択されています。
17017	The application request does not exist.	申請リクエストが存在しません。
17018	No materials of Purple Quality or lower	紫品質以下の素材がありません
17019	You do not have a Battle Pass gift item	バトルパスのギフトアイテムを所持していません
17020	MVP challenge completed (cannot Repeat)	MVPチャレンジ完了済み（再挑戦不可）
17021	Escort delivery failed: Repeat delivery	護衛配送失敗：重複配送
17022	The Stronghold War instance is not open	拠点戦インスタンスは開催されていません
17023	The treasure chest has not been opened.	宝箱がまだ開けられていません。
17024	This matchmaking type is not supported.	このマッチングタイプはサポートされていません。
17025	The scene has reached maximum capacity.	シーンの収容上限に達しました。
17026	Skill Level is below the Initial level.	スキルレベルが初期レベル未満です。
17027	This effect cannot be removed manually.	この効果は手動で解除できません。
17028	The previous Interaction has not ended.	前のインタラクションがまだ終了していません。
17029	Cannot use Interaction with a dead NPC.	死亡中のNPCとはインタラクションできません。
17030	You cannot purchase an item you listed.	自分が出品したアイテムは購入できません。
17031	Cannot purchase an item you have listed	自分の出品アイテムは購入できません
17032	This Function has been disabled by a GM	この機能はGMによって無効化されています
17033	Not enough skill-based Revive attempts.	スキルによる復活回数が不足しています。
17034	This unit is not a valid combat target.	このユニットは有効な戦闘対象ではありません。
17035	Guild Technology has reached Max level.	ギルドテクノロジーは最大レベルです。
17036	This is for you. No need to thank me 2!	これ、あげる。お礼はいらないよ2！
17037	This is for you. No need to thank me 3!	これ、あげる。お礼はいらないよ3！
17038	Hall Level too low. Unable to Level-up.	ホールレベルが不足しているためレベルアップできません。
17039	Mail attachments have not been claimed.	メール添付をまだ受け取っていません。
17040	Participate in one Guild Bonfire Party.	ギルド焚き火パーティに1回参加
17041	Select Adventure Guild tags (up to six)	冒険者ギルドタグを選択（最大6個）
17042	Skills cannot be upgraded during combat	戦闘中はスキルを強化できません
17043	Focus on the charged Bell and smash it!	チャージされたベルに集中して叩き壊せ！
17044	Increases 【Sonic Blow】 damage by ${1}%.	【ソニックブロー】のダメージが${1}%増加。
17045	Hidden from players; for designers only	プレイヤーには非表示・デザイナー専用
17046	Movement Speed -@{1}, up to @{2} stacks	移動速度 -@{1}、最大@{2}スタック
17047	Movement Speed +@{1}, up to @{2} stacks	移動速度 +@{1}、最大@{2}スタック
17048	Increases Basic Attack damage by @{1}%.	通常攻撃ダメージが@{1}%増加。
17049	Party Training: Build team coordination	パーティ訓練：連携力を鍛える
17050	Increases Crit Chance by ^{1}${1}%^{2}.	クリティカル率が^{1}${1}%^{2}増加。
17051	Skill@{1}-Field-wide Musical Instrument	スキル@{1}-全フィールド楽器
17052	Waterspouts appear at random locations.	ランダムな位置に水柱が出現。
17053	Ranged Arrow Monster Normal Attack-Wind	遠距離弓モンスター通常攻撃-風属性
17054	Weekly Uses: limit reached (${1}/${2})!	週間使用回数：上限到達（${1}/${2}）！
17055	You dug up nothing but air. Keep at it!	何も掘り当てられなかった。めげずに続けよう！
17056	Damage Reduction from Neutral Monsters %	無属性モンスターからのダメージ軽減 %
17057	End Universal Overhead Countdown Display	汎用頭上カウントダウン表示終了
17058	Ends in <color=#97E553>${1}</color> days	<color=#97E553>${1}</color>日後に終了
17059	Insert @{1} Blue Quality or higher cards	青品質以上のカードを@{1}枚装着
17060	Deploy @{1} pets at @{2} stars or higher	@{2}星以上のペットを@{1}体配置
17061	Deploy @{1} Echoes at Lv. @{2} or higher	Lv. @{2}以上のエコーを@{1}個配置
17062	Say hello to the Pet Merchant for Dumby.	ダンビーの代わりにペット商人へ挨拶する。
17063	Obtain Sticky Mucus and report to Rhina.	粘液を入手してラインに報告する。
17064	Reach @{1} points in Guild Territory War	ギルド領地戦で@{1}ポイントに到達
17065	Enhance Echoes by a total of @{1} levels	エコーを合計@{1}レベル強化
17066	Kill Goblin (Dagger) and Goblin (Hammer)	ゴブリン（ダガー）とゴブリン（ハンマー）を倒す
17067	Tell the professor what the letter says.	手紙の内容を教授に伝える。
17068	Rare Reward-Goblin Leader-Illusion Limit	レア報酬-ゴブリンリーダー-幻影制限
17069	Rare Reward-Dracula Baron-Illusion Limit	レア報酬-ドラキュラ男爵-幻影制限
17070	Go to Payon Forest and meet up with Boya	フェイヨンの森へ行き、ボヤと合流
17071	Learn Equipment Forging from Hollgrehenn	ホルグレンから装備製造を学ぶ
17072	Find the Relic and the Professor's group	遺物と教授の一行を探す
17073	Affects the duration of Stun you inflict	付与するスタンの持続時間に影響
17074	Affects the duration of Stun you receive	受けるスタンの持続時間に影響
17075	Affects the duration of Burn you inflict	付与する火傷の持続時間に影響
17076	Affects the duration of Burn you receive	受ける火傷の持続時間に影響
17077	Affects your Chance of being Immobilized	移動不能になる確率に影響
17078	Affects the duration of Slow you inflict	付与する鈍足の持続時間に影響
17079	Otherworldly Invasion Event Reissue Mail	異世界侵攻イベント再配布メール
17080	Lost Treasure Cumulative Rewards Reissue	失われた宝・累積報酬再配布
17081	Tap the quest to learn about Auto-Battle	クエストをタップしてオートバトルについて学ぶ
17082	Go to the guild transport starting point	ギルド輸送開始地点へ向かう
17083	Sub-Battlefield Revive Point Area Effect	サブ戦場復活ポイント範囲効果
17084	Something feels off Nearby. Take a look!	近くに何か違和感がある。調べてみよう！
17085	Tell the Merchant about what You Hatched	孵化したものを商人に報告する
17086	The Head Job Mentor wants to talk to You	上位職教官があなたと話したがっています
17087	Amazing! You're in a league of your own!	すごい！まるで別格だ！
17088	Attribute bonuses reset between Seasons.	属性ボーナスはシーズンごとにリセット。
17089	Well suited for PvP and Killing enemies.	PvPや敵撃破に適しています。
17090	Unleash psychic power to deal ST damage.	念動力を放ち、単体ダメージを与える。
17091	This item has reached its listing limit.	このアイテムは出品上限に達しています。
17092	Adventure Party Level Reward Information	冒険パーティレベル報酬情報
17093	Help others complete events (Deprecated)	他人のイベント完了を支援（廃止予定）
17094	Please select an attribute to filter by.	絞り込む属性を選択してください。
17095	Enter a group name (up to 7 characters).	グループ名を入力（7文字以内）。
17096	Season Treasure Hunt Event Tier 2 Reward	シーズン宝探しイベント Tier 2報酬
17097	Season Treasure Hunt Event Tier 3 Reward	シーズン宝探しイベント Tier 3報酬
17098	Season Treasure Hunt Event Tier 4 Reward	シーズン宝探しイベント Tier 4報酬
