Index	English	Japanese_Translation
11001	Ghostring Normal Attack	ゴーストリング通常攻撃
11002	Cat o' Nine-Tail Skills	九尾狐のスキル
11003	Gravity Totem Explosion	グラビティトーテム爆発
11004	No match Data available	利用可能な対戦データがありません
11005	Daedre: Passive Trigger	デイドル：パッシブ発動
11006	Ninja Art: Smoke Screen	忍法：煙幕
11007	Ghost Ship Grand Charge	ゴーストシップ・グランドチャージ
11008	Link Distance Check@{1}	リンク距離チェック@{1}
11009	Summon Coffin + Bandage	棺＋包帯を召喚
11010	Pharaoh Ultimate Damage	ファラオ必殺技ダメージ
11011	Moonlight Flower Ambush	月夜花の奇襲
11012	P@{1} Yellow Bubble@{2}	P@{1} イエローバブル@{2}
11013	Boss Movement Detection	ボス移動検知
11014	Rhythm Game Interaction	リズムゲーム操作
11015	Skill@{1}_Hell Mode@{2}	スキル@{1}_ヘルモード@{2}
11016	Skill@{1}_Hard Mode@{2}	スキル@{1}_ハードモード@{2}
11017	Melody Cannon - Enhance	メロディキャノン - 強化
11018	Hundred Spear - Enhance	ハンドレッドスピア - 強化
11019	S@{1}Cannon Enhance@{2}	S@{1}キャノン強化@{2}
11020	S@{1}High-Energy Impact	S@{1}ハイエナジーインパクト
11021	S@{1}Crescent Moonblade	S@{1}クレセントムーンブレード
11022	Ultimate Hundred Spears	究極ハンドレッドスピア
11023	S@{1}Black Phantom Void	S@{1}ブラックファントムヴォイド
11024	Greatsword Sweep Attack	大剣なぎ払い
11025	YU-Sweep All Directions	YU・全方向なぎ払い
11026	Advanced Soul Destroyer	上級ソウルデストロイヤー
11027	Holy Light's Protection	ホーリーライトの加護
11028	Players Completed: ${1}	完了プレイヤー数：${1}
11029	Crit increases by ${1}.	クリティカルが${1}増加。
11030	Create Announcement NPC	アナウンスNPCを作成
11031	Two-Handed Weapons Only	両手武器のみ
11032	Monthly Uses Remaining:	今月の残り使用回数：
11033	Cooldown Group Duration	クールダウングループ時間
11034	Auto-play on Wi-Fi only	Wi-Fi接続時のみ自動再生
11035	Message cannot be empty	メッセージを入力してください
11036	Broadcast item required	ブロードキャストアイテムが必要です
11037	Clue Treasure Map: Shop	手がかり宝の地図：ショップ
11038	Rolling Cutter Assassin	ローリングカッターアサシン
11039	Teleport to Target Area	対象エリアへテレポート
11040	Clock-Hand Magic Circle	時計針の魔法陣
11041	Precious Treasure Chest	貴重な宝箱
11042	Moonlight on the Breeze	そよ風に照る月
11043	Training Dummy - Normal	トレーニングダミー - ノーマル
11044	@{1}D Bounding Box Test	@{1}D バウンディングボックステスト
11045	Dragon Fly Magic Circle	ドラゴンフライ魔法陣
11046	Accelerate Dragon Blood	ドラゴンブラッド加速
11047	Deathproof Dragon Blood	不死のドラゴンブラッド
11048	Kafra Voting Campaigner	カプラ投票キャンペーン担当
11049	Person Watching the Sea	海を眺める人
11050	Adventurer's Guild Tree	冒険者ギルドの木
11051	Geffen Tower Floor @{1}	ゲフェンタワー @{1}F
11052	Prontera-Flying Trigger	プロンテラ飛行トリガー
