Index	English	Japanese_Translation
2001	Lv.81-100	Lv.81-100
2002	Filtering	フィルタリング
2003	Kaka Coin	カカコイン
2004	CHAPTER I	第 1 章
2005	Excellent	素晴らしい
2006	Fragrance	フレグランス
2007	Size @{1}	サイズ @{1}
2008	Charge Up	チャージアップ
2009	Alternate	代替
2010	Rapidness	速さ
2011	Modern PC	最新の PC
2012	Hide Chat	チャットを非表示にする
2013	Show Chat	チャットを表示する
2014	Game Info	ゲーム情報
2015	Low Growl	低いうなり声
2016	Moonlight	ムーンライト
2017	Execution	処刑
2018	Blue Note	ブルーノート
2019	Wave Slow	ウェーブスロー
2020	Duo Dance	デュオダンス
2021	Void Rift	ヴォイドリフト
2022	Recipient	受信者
2023	Listeners	リスナー
2024	Materials	材料
2025	Trade Fee	取引手数料
2026	Two Buffs	2つのバフ
2027	Basic HIT	基本ヒット
2028	Merciless	無慈悲な
2029	Wrong Job	職業が違います
2030	Defenders	ディフェンダー
2031	Attackers	攻撃者
2032	This Week	今週
2033	Frontline	最前線
2034	Reloading	リロード中
2035	Purchased	購入済み
2036	First MVP	初のMVP
2037	Kind Girl	優しい女の子
2038	Eerie Man	不気味な男
2039	Solo Mode	ソロモード
2040	{1} Place	{1} 場所
2041	Remaining	残り
2042	No Skills	スキルなし
2043	No items.	項目はありません。
2044	Care List	ケアリスト
2045	and above	以上
2046	and below	以下
2047	CRIT Stat	クリティカルステータス
2048	ATK +@{1}	ATK+@{1}
2049	${1} List	${1} リスト
2050	Butterfly	蝶
2051	Link Pull	リンクプル
2052	Spawn VFX	スポーン VFX
2053	Fortitude	不屈の精神
2054	Iron Wall	鉄の壁
2055	Interrupt	割り込み
2056	Scanning…	スキャン中…
2057	Preparing	準備中
2058	Forfeited	没収された
2059	Exit ${1}	${1} を終了します
2060	Left Heart	左心
2061	Ranks 4-10	ランク4～10
2062	Deals DMG:	与ダメージ：
2063	Event Over	イベント終了
2064	Mage's Hat	マジシャンの帽子
2065	Banana Hat	バナナハット
2066	Angel Wing	エンジェルウィング
2067	Sphinx Hat	スフィンクスの帽子
2068	Rune Crown	ルーンクラウン
2069	Sunglasses	サングラス
2070	Prank Mask	いたずらマスク
2071	Clown Nose	クラウンの鼻
2072	Kitty Tail	キティテール
2073	Big Poring	大きなポリン
2074	Kitty Cart	キティカート
2075	Squidgitte	スキジッテ
2076	Marionette	マリオネット
2077	BASE:${1}%	ベース:${1}%
2078	Statistics	統計
2079	Difficulty	難易度
2080	Clear Time	クリアタイム
2081	Rift Stone	リフトストーン
2082	New Record	新記録
2083	Indonesian	インドネシア語
2084	Vietnamese	ベトナム語
2085	Rare Items	レアアイテム
2086	Mandragora	マンドラゴラ
2087	Thara Frog	タラ・フロッグ
2088	Sword Fish	ソードフィッシュ
2089	Orc Zombie	オークゾンビ
2090	Hunter Fly	ハンターフライ
2091	Nine Tails	九尾
2092	Orc Archer	オークアーチャー
2093	Sky Petite	スカイプチ
2094	Wind Ghost	ウィンドゴースト
2095	Axe Kobold	アックス・コボルト
2096	Leib Olmai	リーブ・オルマイ
2097	Discipline	規律
2098	My Journey	私の旅
2099	Management	管理
2100	Totem Life	トーテムライフ
2101	HP recover	HP回復
2102	Cast Speed	詠唱速度
2103	Crit Bonus	クリティカルボーナス
2104	Global CD%	グローバル CD%
2105	Bonus MATK	ボーナスMATK
2106	Bonus MDEF	ボーナスMDEF
2107	BOSS Phase	ボスフェーズ
2108	Max Energy	最大エネルギー
2109	【Equipped】	【装備】
2110	MVP-Osiris	MVP-オシリス
2111	MVP-Kraken	MVP-クラーケン
2112	Space Rift	スペースリフト
2113	Popularity	人気
2114	Trans. 2nd	転生2次職
2115	Sell Items	アイテムを売る
2116	Bid Outbid	入札を上回る
2117	Show Caves	洞窟を表示
2118	Cancel AFK	AFKをキャンセル
2119	Trial Shop	トライアルショップ
2120	Kafra Shop	カプラショップ
2121	Totem Shop	トーテムショップ
2122	Guild Shop	ギルドショップ
