Index	English	Japanese_Translation
4001	Sandman Slow	サンドマンスロー
4002	Morale Surge	士気の高まり
4003	Morale Boost	士気向上
4004	Respawn Buff	リスポーンバフ
4005	Filler Skill	フィラースキル
4006	Rock Shatter	ロックシャッター
4007	Frost Breath	フロストブレス
4008	Dead Silence	デッドサイレンス
4009	Bell Rampage	ベルランペイジ
4010	Death Scythe	デスサイズ
4011	Normal Punch	ノーマルパンチ
4012	Perfect Shot	パーフェクトショット
4013	Enhanced Bow	強化弓
4014	Hunting Trap	ハンティングトラップ
4015	[Hard-Nasha]	[ハード・ナーシャ]
4016	[Hard-Mirko]	【ハードミルコ】
4017	[Hard-Drake]	【ハードドレイク】
4018	Main Reward:	主な報酬:
4019	Sort by Type	タイプ別に並べ替え
4020	Poring Party	ポリンパーティ
4021	Weekly Uses:	毎週の使用:
4022	Idle Settings	アイドル設定
4023	Save and Exit	保存して終了
4024	Hands on Hips	腰に手を当てる
4025	Function Menu	機能メニュー
4026	Total Ratings	合計評価数
4027	How to Obtain	入手方法
4028	Not Available	利用できません
4029	Group Rewards	グループ報酬
4030	Boss Appeared	ボス登場
4031	Bread Bag Hat	ブレッドバッグハット
4032	Student's Cap	学生帽
4033	Deviruchi Hat	デビルーチハット
4034	Grand Circlet	グランドサークレット
4035	Majestic Goat	雄大なヤギ
4036	Spinning Eyes	スピニングアイズ
4037	Small Ribbons	小さなリボン
4038	Romantic Leaf	ロマンティックリーフ
4039	Baby Pacifier	赤ちゃんのおしゃぶり
4040	Fish In Mouth	口の中の魚
4041	Wheel of Time	時の輪
4042	Solar Chariot	ソーラーチャリオット
4043	Hairstyle@{1}	髪型@{1}
4044	Rainbow Ferus	レインボーフェルス
4045	Ancient Mummy	エンシェントマミー
4046	Defense Build	防御ビルド
4047	Defense Boost	防御力ブースト
4048	Dialogue Test	対話テスト
4049	Supply Escort	補給護衛
4050	Peco Peco Egg	ペコペコの卵
4051	Thief Bug Egg	盗蟲の卵
4052	Marine Sphere	マリンスフィア
4053	Goblin Archer	ゴブリンアーチャー
4054	Goblin (Mace)	ゴブリン（メイス）
4055	Hammer Kobold	ハンマーコボルト
4056	Kobold Archer	コボルドアーチャー
4057	Killer Mantis	キラーマンティス
4058	Normal Unseal	通常の開封
4059	Thanks, Boss!	ありがとう、ボス！
4060	Charisma Baby	カリスマベイビー
4061	Healing Taken	被回復量
4062	Ranged PDMG.R	遠距離PDMG.R
4063	Earth Damage%	地属性ダメージ%
4064	Water Damage%	水属性ダメージ%
4065	Ghost Damage%	念属性ダメージ%
4066	Silent Attack	サイレントアタック
4067	Freeze Attack	フリーズアタック
4068	Cursed Attack	呪われた攻撃
4069	Bleed Enhance	出血強化
4070	Sleep Enhance	睡眠強化
4071	Fixed HP Lock	固定HPロック
4072	Status Bitmap	ステータスビットマップ
4073	All EXP Bonus	全EXPボーナス
4074	Work Together	一緒に働く
4075	Season Events	シーズンイベント
4076	Territory War	領地戦
4077	Royal Capital	王都
4078	Emblems: ${1}	エンブレム: ${1}
4079	Kill Baphomet	バフォメットを倒す
4080	Talk to Rhine	ラインと話す
4081	Defeat Morroc	モロックを倒す
4082	Guild Auction	ギルドオークション
4083	World Auction	ワールドオークション
4084	Event Auction	イベントオークション
4085	God of Nature	自然の神
4086	Basic Defense	基本的な防御力
4087	Skill MP Cost	スキルMP消費
4088	Explore ahead	先を探索する
4089	Purchase Item	アイテムを購入する
4090	Trade Penalty	取引ペナルティ
4091	Trade Warning	貿易に関する警告
4092	Search Rebate	検索還元
4093	(Kills: ${1})	(キル数: ${1})
4094	Masked Figure	マスク姿の人物
4095	[${1}]'s ${2}	[${1}]'s ${2}
4096	Supplies Lost	消耗品の紛失
