Index	English	Japanese_Translation
9001	Configuration Error	設定エラー
9002	Incorrect draw cost	抽選コストが正しくありません
9003	Insufficient points	ポイントが不足しています
9004	Guild doesn't exist	ギルドが存在しません
9005	Rune type mismatch.	ルーンタイプが一致しません。
9006	Not Enough Stickers	ステッカーが不足しています
9007	^{1}Earth Spike^{2}	^{1}アーススパイク^{2}
9008	^{1}Second Wind^{2}	^{1}セカンドウィンド^{2}
9009	^{1}Limit Break^{2}	^{1}リミットブレイク^{2}
9010	Charged Shield Bash	チャージドシールドバッシュ
9011	Cross Judex Enhance	クロスジュデックス強化
9012	Spear Throw Enhance	スピアスロー強化
9013	Basic Magic Defense	基本魔法防御
9014	Normal Attack Boost	通常攻撃強化
9015	^{1}Flame Chain^{2}	^{1}フレイムチェーン^{2}
9016	^{1}Soul Reaper^{2}	^{1}ソウルリーパー^{2}
9017	Conqueror Exclusive	征服者限定
9018	Invalid message UID	メッセージUIDが無効です
9019	Character is banned	キャラクターは利用停止中です
9020	Item does not exist	アイテムが存在しません
9021	Duplicate potion ID	ポーションIDが重複しています
9022	Item already exists	アイテムはすでに存在します
9023	Item cannot be used	このアイテムは使用できません
9024	Item use prohibited	アイテムの使用は禁止されています
9025	Go to Revival Point	復活ポイントへ移動
9026	Revive in ${1} sec.	${1}秒後に復活
9027	Command Marker ${1}	コマンドマーカー ${1}
9028	Invasion Intensity:	侵攻強度:
9029	Battlefield Changes	戦場の変化
9030	Board this vehicle.	この乗り物に乗る。
9031	Gains DMG Reduction	ダメージ軽減を獲得
9032	Dismount the Deniro	デニーロから降りる
9033	Available to Borrow	貸出可能
9034	Lu Bu's First Skill	呂布の第1スキル
9035	Unsupported action.	未対応の操作です。
9036	Interaction failed.	インタラクションに失敗しました。
9037	Trade request error	取引リクエストエラー
9038	Trade data is empty	取引データがありません
9039	Equipment Appraisal	装備鑑定
9040	Unlock Premium Pass	プレミアムパスを解放
9041	Switch Gift Message	ギフトメッセージを切り替え
9042	Mail body is empty.	メール本文が空です。
9043	Mail doesn't exist.	メールが存在しません。
9044	Six Months Together	一緒になって6か月
9045	Four-Month Flourish	4か月目の実り
9046	One Season Together	一緒になって1シーズン
9047	Two Months Together	一緒になって2か月
9048	One-Month Milestone	1か月記念
9049	A Drink for a Story	物語のための一杯
9050	A Few Close Friends	気心の知れた友人たち
9051	Defeat Mirko · Hard	ミルコ・ハードを倒す
9052	Defeat Nasha · Hard	ナーシャ・ハードを倒す
9053	Spirit Tower Legend	精霊の塔・レジェンド
9054	5 Pets at Your Side	5匹のペットを連れて
9055	100-Card Collection	カード100枚コレクション
9056	Refine: First Steps	精錬：はじめの一歩
9057	Illusion's Radiance	幻影の輝き
9058	Tough-Looking Woman	強そうな女性
9059	Safe zone shrinking	安全地帯が縮小中
9060	【${1} Ten Thousand】	【${1}万】
9061	Season end time TBD	シーズン終了時刻：未定
9062	Last Death Location	最後に倒れた場所
9063	Share the findings.	調査結果を共有する。
9064	Thank you, Grandma!	ありがとう、おばあちゃん！
9065	Matchmaking started	マッチングを開始しました
9066	Crimson-Black Orbit	紅黒オービット
9067	Crimson Flame Orbit	紅炎オービット
9068	Spring Blossom Cart	春花カート
9069	【Dark Night】 floors	【暗夜】フロア
9070	Locks Life at @{1}%	HPを@{1}%に固定
9071	Dance Move Backward	ダンス移動・後退
9072	Recommended Affixes	おすすめアフィックス
9073	Confirm Replacement	交換を確認
9074	Enter Get Help Code	ヘルプコードを入力
9075	Tap to select cards	タップしてカードを選択
9076	Tap to Select a Pet	タップしてペットを選択
9077	Current Battle Data	現在の戦闘データ
9078	Suggested Resonance	おすすめ共鳴
9079	Attack Speed +${1}%	攻撃速度 +${1}%
9080	Enters Blind status	暗闇状態になる
9081	Lucky Poring Lv@{1}	ラッキーポリン Lv@{1}
9082	Dexterity Resonance	DEX共鳴
9083	Warg Strike Trigger	ウォーグストライク発動
9084	Arrow Shower【Timer】	アローシャワー【タイマー】
9085	Settlement in ${1}h	${1}時間後に精算
9086	My guild Rank: ${1}	自ギルド順位: ${1}
9087	Death Immunity Buff	死亡無効バフ
9088	Sonic Barrier Field	ソニックバリアフィールド
9089	Party-Wipe Mechanic	全滅ギミック
9090	Salted Fish Thrust.	塩漬け魚スラスト
9091	Golem AOE - Neutral	ゴーレム範囲攻撃・無属性
9092	Dokebi AOE - Shadow	ドケビ範囲攻撃・闇属性
9093	Obeaune AOE - Water	オボンヌ範囲攻撃・水属性
9094	Matyr Charge-Shadow	マーターチャージ・闇属性
9095	Orc Archer ST-Earth	オークアーチャー単体攻撃・地属性
9096	Restorative Craving	回復への渇望
9097	Executioner's Blade	処刑人の刃
9098	Divine Resurrection	神聖なる復活
9099	Recruit New Members	新メンバーを募集
9100	Publish a New Issue	新しい募集を掲載
9101	Create Vending Cart	露店カートを作成
9102	[Final Trial-Nasha]	[最終試練-ナーシャ]
9103	[Final Trial-Mirko]	[最終試練-ミルコ]
9104	Cancel application?	申請を取り消しますか？
9105	No Adventure Groups	冒険グループがありません
9106	Tap to Congratulate	タップして祝福
9107	Questions ${1}/${2}	問題 ${1}/${2}
9108	Obtained ${1} X ${2}	${1} X ${2} を獲得
9109	Entire Server Report	全サーバーレポート
9110	Partywide Immobilize	パーティ全体を移動不能
9111	Pirate Captain's Hat	海賊船長の帽子
9112	Moonlight Flower Hat	月夜花の帽子
9113	Sweetheart Tea Party	スイートハート・ティーパーティ
9114	Corrupted Wander Man	堕落したワンダーマン
9115	Darkheart Hunter Eve	ダークハートハンター・イブ
9116	Stage reward claimed	ステージ報酬を受取済み
9117	Reward Count Used Up	報酬回数を使い切りました
9118	Event Time Remaining	イベント残り時間
9119	Physical Penetration	物理貫通
9120	Melee PDMG Reduction	近接物理ダメージ軽減
9121	Item Healing Effect%	アイテム回復効果%
9122	Shield Bonus Effect%	シールドボーナス効果%
9123	Energy Recovery Time	エネルギー回復時間
9124	Energy Recovery Rate	エネルギー回復速度
9125	Conqueror Settlement	征服者精算
9126	MVP-Golden Thief Bug	MVP-黄金蟲
9127	MVP-Moonlight Flower	MVP-月夜花
9128	Kill @{1} Roda Frogs	ロッダフロッグを@{1}体倒す
9129	Kill @{1} Thief Bugs	盗蟲を@{1}体倒す
9130	Kill @{1} Orc Ladies	オークレディを@{1}体倒す
9131	Play the shell game.	シェルゲームで遊ぶ。
9132	Ride the Hyena mount	ハイエナマウントに乗る
9133	Obtain the Fox mount	キツネマウントを入手
9134	Tower Activity Quest	塔アクティビティクエスト
9135	Equip the Soul Echo.	ソウルエコーを装備する。
9136	No Current Encounter	現在の遭遇なし
9137	Defeat the Peco Peco	ペコペコを倒す
9138	Observe what happens	何が起こるか観察する
9139	Intermediate Defense	中級防御
9140	% Magic ATK Increase	魔法攻撃 %増加
9141	% Magic DEF Increase	魔法防御 %増加
9142	Defeat all monsters.	すべてのモンスターを倒す。
9143	Check on the captain	船長の様子を見る
9144	Close Stall Manually	手動で露店を閉じる
9145	Guild League Rewards	ギルドリーグ報酬
9146	Game Mode Bid Outbid	ゲームモード入札・高値更新
9147	Guild Auction Closed	ギルドオークション終了
9148	Kill Orc Warrior@{1}	オーク戦士@{1}を倒す
9149	Daily Activity Quest	デイリー活動クエスト
9150	Can escort ${1} more	あと${1}回護衛可能
9151	Campfire Interaction	焚き火インタラクション
9152	Mining Star Treasure	採掘スター宝箱
9153	New Feature Unlocked	新機能解放
