Index	English	Japanese_Translation
5001	Defending Aura	ディフェンスオーラ
5002	Absolute Judex	アブソリュート・ジュデックス
5003	Shield Pursuit	シールド追撃
5004	Crest of Light	光の紋章
5005	Chase Distance	チェイスディスタンス
5006	Go to Settings	設定へ
5007	Casting Method	詠唱方式
5008	Normal Casting	通常詠唱
5009	Damage Numbers	ダメージ数値
5010	Sound Settings	サウンド設定
5011	Semi-Soft Lock	セミソフトロック
5012	Full Soft Lock	フルソフトロック
5013	Skill Callouts	スキル通知
5014	Always Display	常に表示
5015	Self and Party	自分とパーティ
5016	Mouse Left Tap	マウス左クリック
5017	Powerful Drain	強力ドレイン
5018	Fan-Shaped AOE	扇形範囲
5019	Horizontal AOE	水平AOE
5020	Brass Talisman	真鍮のタリスマン
5021	Clone Entrance	分身登場
5022	Kun Moves @{1}	クンの動き @{1}
5023	Spotlight @{1}	スポットライト @{1}
5024	Rift Knockback	リフトノックバック
5025	Launch Missile	ミサイル発射
5026	Rapidness Shot	ラピッドネスショット
5027	Battle Command	戦闘コマンド
5028	Emergency Call	緊急招集
5029	Falcon Assault	ファルコンアサルト
5030	Sharp Shooting	シャープシューティング
5031	Yggdrasil Leaf	イグドラシルの葉
5032	Doragon Launch	ドラゴン発射
5033	Lightning Bolt	ライトニングボルト
5034	Fire@{1}-Rapid	ファイア@{1}-ラピッド
5035	Greedy Bigfoot	貪欲なビッグフット
5036	Greedy Phoenix	貪欲なフェニックス
5037	Live Ammo Test	実弾テスト
5038	Eclipse Skills	エクリプスのスキル
5039	Gryphon Skills	グリフォンのスキル
5040	Realm of Light	光の領域
5041	Petrify Cleave	石化斬り
5042	Hornet Assault	ホーネットアサルト
5043	Summon Pyramid	ピラミッド召喚
5044	Dark Corrosion	ダークコロージョン
5045	Bell Resonance	ベルレゾナンス
5046	Charging Blade	チャージングブレード
5047	Likes Received	獲得いいね数
5048	Heaven's Drive	ヘヴンズドライブ
5049	Dance of Death	死のダンス
5050	Blazing Thrust	ブレイジングスラスト
5051	Flame Eruption	フレイムエラプション
5052	Nether Phantom	ネザーファントム
5053	Dancing Blades	ダンシングブレード
5054	Lingering Echo	残響
5055	${1} Resources	${1} リソース
5056	Privacy Policy	プライバシーポリシー
5057	Summon Puppets	パペット召喚
5058	Dark Pulse@{1}	ダークパルス@{1}
5059	Refresh Horong	ホロンを更新
5060	Furious Strike	フューリアスストライク
5061	Rhythmic Stomp	リズミックストンプ
5062	Hold Skill VFX	スキルVFXを保持
5063	Skill@{1}Shout	スキル@{1}シャウト
5064	Final Movement	ファイナルムーブメント
5065	Musical Phrase	楽句
5066	Brilliant Nova	ブリリアントノヴァ
5067	Rhythmic Arrow	リズミックアロー
5068	Flowing Shadow	流れる影
5069	Neon Spotlight	ネオンスポットライト
5070	Divine Remnant	ディバイン・レムナント
5071	Seismic Cleave	セイスミッククリーブ
5072	Hellhound King	ヘルハウンドキング
5073	Brandish Spear	ブランディッシュスピア
