Index	English	Japanese_Translation
24001	Whoa, whoa, whoa! You're a strange Woman! Giving us a gift the first time we meet? This isn't some kind of trick, is it?	おや、おや、おや！変わった女性だな！初対面でいきなり贈り物をくれるのかい？何か裏があるんじゃないだろうね？
24002	If the stage difficulty is too high, you can abandon the stage, return to the event screen, and select a new difficulty.	ステージの難易度が高すぎる場合は、ステージを放棄してイベント画面に戻り、新しい難易度を選択することができます。
24003	${1} used the Dragon Sanctuary, causing numerous Red Envelopes to appear in ${2}. Adventurers are invited to claim them.	${1}が龍の聖域を使用し、${2}に多数の紅包が出現しました。冒険者の皆様はぜひお受け取りください。
24004	The Goddess's invasion has ended. ${1} successfully repelled the invasion; unfortunately, ${2} fell during the invasion.	女神の侵攻が終了しました。${1}は侵攻を食い止めることに成功しましたが、残念ながら${2}は侵攻中に倒れました。
24005	South Gate defenders, take heed! The enemy is advancing into the city, and the Inn area may become the next battlefield!	南門の防衛兵たち、警戒せよ！敵が市街地へと進軍しており、宿屋エリアが次の戦場になる恐れがある！
24006	Core material extracted from an Ironwood block. Hard and resistant to breaking, it is ideal for crafting fine equipment.	アイアンウッドの塊から抽出された芯材。硬く壊れにくいため、上質な装備の製作に最適です。
24007	A sharp blade forged from Meteor Metal. Its potential to pierce anything makes it a vital component of advanced weapons.	メテオメタルから鍛造された鋭利な刃。あらゆるものを貫く可能性を秘めており、高度な武器に不可欠な部品です。
24008	A large one-handed Spear combining a lance and a scythe, making it a versatile weapon capable of many different attacks.	槍と大鎌を組み合わせた大型の片手槍。多彩な攻撃を繰り出せる汎用性の高い武器です。
24009	Reduces the ^{3}MP cost^{4} of skills cast by the user by ^{1}${1}%^{2} and increases ^{7}Magic ATK^{8} by ^{5}${2}^{6}.	自身が使用するスキルの^{3}消費MP^{4}が^{1}${1}%^{2}減少し、^{7}魔法攻撃力^{8}が^{5}${2}^{6}増加します。
24010	Summon a dark magic circle that inflicts ${2}% Slow, Silence, and Disarm on enemies within ${1} meters for ${3} seconds.	暗黒の魔法陣を召喚し、${1}m以内の敵に${3}秒間、${2}%の減速、沈黙、武装解除を付与します。
24011	Death Witch deals Physical ATK*^{1}{2}%^{2} Neutral melee Physical damage to the designated ST enemy within ${1} meters.	死の魔女が${1}m以内の指定した単体の敵に、物理攻撃力*^{1}{2}%^{2}の無属性近接物理ダメージを与えます。
24012	Medusa deals Neutral ranged Physical damage equal to Physical ATK * ^{1}${2}%^{2} to a single target within ${1} meters.	メデューサが${1}m以内の単体ターゲットに、物理攻撃力*^{1}${2}%^{2}の無属性遠距離物理ダメージを与えます。
24013	I heard a young mage gave her a glowing quill last year. She casually traded it to a merchant with a Stall for a quiver.	去年、若いマジシャンが彼女に光る羽ペンを贈ったらしいわ。彼女、露店の商人に矢筒とあっさり交換しちゃったのよ。
24014	For ${1} seconds after using 【Grimtooth】, 【Basic Attack】, 【Sonic Blow】, and 【Envenomed Blade】 damage increases by ${2}%.	【グリムトゥース】使用後の${1}秒間、【通常攻撃】、【ソニックブロー】、【インベナムブレード】の与ダメージが${2}%増加します。
24015	This member has a caravan in transit. Removing them from the guild will destroy it. Are you sure you want to remove them?	このメンバーは現在キャラバンを護衛中です。ギルドから追放するとキャラバンが破壊されます。本当に追放しますか？
24016	Search the locations indicated by the mysterious figure to find scattered note Clues and solve the corresponding puzzles.	謎の人物が指し示す場所を捜索し、散らばったメモの手がかりを見つけて対応するパズルを解きましょう。
24017	Once cargo is placed successfully, a new placement point will appear Above it, allowing Other cargo to be stacked on top.	貨物の配置に成功すると、その上部に新たな配置ポイントが出現し、他の貨物を積み重ねられるようになります。
24018	Strawberry juice boiled into amber hard candy and broken into shards. Increases Physical ATK by @{1}~@{2} for @{3} hours.	イチゴの果汁を煮詰めて琥珀色のハードキャンディにし、砕いたもの。@{3}時間、物理攻撃力が@{1}～@{2}増加します。
24019	Accept the Daily Requests Posted by Dazed and complete them to earn abundant rewards and try your LUK at the prize wheel!	ダイダイが掲示するデイリー依頼を受注して達成し、豊富な報酬を獲得してルーレットで運試しをしましょう！
24020	After joining this region's auction, you cannot join auctions in other regions during the qualification period. Continue?	この地域のオークションに参加すると、資格期間中は他の地域のオークションに参加できなくなります。続行しますか？
