Index	English	Japanese_Translation
12001	Circular AoE-No Logic Yet	円形範囲攻撃（ロジック未実装）
12002	Solace of Eternal Silence	永遠の静寂の慰め
12003	Pirate King Normal Attack	海賊王通常攻撃
12004	Achievement Level Rewards	実績レベル報酬
12005	S@{1} Large Card Pool@{2}	S@{1} 大型カードプール@{2}
12006	S@{1} Small Card Pool@{2}	S@{1} 小型カードプール@{2}
12007	Maximum quantity reached.	最大数量に達しました。
12008	Minimum quantity reached.	最小数量に達しました。
12009	Switched to Channel ${1}.	チャンネル${1}に切り替えました。
12010	Mutually Exclusive Skills	同時取得不可スキル
12011	Main Screen Chat Settings	メイン画面チャット設定
12012	Incorrect message channel	メッセージチャンネルが正しくありません
12013	Clue Treasure Map: Statue	手がかり宝の地図：像
12014	Clue Treasure Map: Bakery	手がかり宝の地図：パン屋
12015	【Self-Destruct】Magma Toad	【自爆】マグマトード
12016	Primordial Chaos - Ilmata	原初の混沌 - イルマタ
12017	Evil Forces Member Archer	邪悪勢力のアーチャー
12018	Blood Rite, Love's Burial	血の儀式、愛の埋葬
12019	Goblin Leader Spear Throw	ゴブリンリーダー槍投げ
12020	MVP Mistress Magic Circle	MVPミストレス魔法陣
12021	Blacksmith Making Repairs	修理中のブラックスミス
12022	Quartermaster Corps Staff	補給部隊スタッフ
12023	Sphinx Dungeon Floor @{1}	スフィンクスダンジョン @{1}F
12024	South Gate-Flying Trigger	南門飛行トリガー
12025	Territory War - Seventeen	領地戦 - 17
12026	Moonlight Flower-Illusion	月夜花・幻影
12027	Baphomet AoE Magic Circle	バフォメット範囲魔法陣
12028	Green Tracking Bubble NPC	グリーン追尾バブルNPC
12029	P@{1} Blue Bubble NPC@{2}	P@{1} ブルーバブルNPC@{2}
12030	Magic Circle_Assumptio BD	魔法陣_アスムプティオ BD
12031	Purpose of the Experiment	実験の目的
12032	No First Clear record yet	初回クリア記録はまだありません
12033	Exclusive mount for Mages	マジシャン専用マウント
12034	Field Combat Time Paused…	フィールド戦闘時間を一時停止中…
12035	Summon Starshatter Dragon	スターシャッタードラゴンを召喚
12036	Tap to enter a Stall name	タップして露店名を入力
12037	[${1}] unlocks at lv.${2}	[${1}]はLv.${2}で解放
12038	The seller is restocking!	出品者が商品を補充中！
12039	Daily Attempts: ${1}/${2}	本日の挑戦回数：${1}/${2}
12040	Physical Damage Reduction	物理ダメージ軽減
12041	Damage to Demi-Human Race	人間形へのダメージ
12042	Opens every ${1}${2}-${3}	毎${1}${2}-${3}に開催
12043	Defend the Glorious Metal	栄光の金属を守る
12044	Character Selection Scene	キャラクター選択画面
12045	Maximum Guild Members: 80	ギルド最大人数：80
12046	Activate the ${1} Tactic?	戦術「${1}」を有効化しますか？
12047	Minimum Application Level	申請可能最低レベル
12048	All applications declined	すべての申請を拒否しました
12049	All applications approved	すべての申請を承認しました
12050	Decline Guild Invitations	ギルド招待を拒否
12051	Guild Activity Last Week:	先週のギルド活動：
12052	Total Activity Dividends:	活動配当合計：
12053	Recruitment Announcement:	募集告知：
12054	Enter a Guild Member name	ギルドメンバー名を入力
12055	<color=#97E553>80</color>	<color=#97E553>80</color>
12056	Soul Echo Metric - Deploy	ソウルエコー指標 - 配置
12057	Visit Antonio (@{1}/@{2})	アントニオを訪ねる（@{1}/@{2}）
12058	Visit Leavren (@{1}/@{2})	レヴレンを訪ねる（@{1}/@{2}）
12059	Shock-Absorbing Lubricant	衝撃吸収潤滑油
12060	Journey Through the Skies	空を巡る旅
12061	Maya Appears (Deprecated)	マヤー出現（廃止予定）
12062	The Group Leader's Praise	グループリーダーの称賛
12063	Activate the Stone Pillar	石柱を起動
12064	Munak Cave Conquest Quest	ムナック洞窟征服クエスト
12065	Prepare for the Challenge	挑戦の準備をする
12066	Complete the Novice Trial	ノービス試練を完了
12067	A Boost for the Adventure	冒険への後押し
12068	Advance the Growth Emblem	成長エンブレムを昇級
12069	Defeat any MVP @{1} times	任意のMVPを@{1}回討伐
12070	Clear the Forbidden Wilds	禁断の荒野をクリア
12071	Advance to your First Job	1次職へ転職
12072	Advance to your Third Job	3次職へ転職
12073	Go learn about MVP events	MVPイベントについて学ぶ
12074	Choose the build you like	好きなビルドを選択
12075	Tap to open the Skill tab	タップしてスキルタブを開く
12076	Click the Hall of Heroes.	英雄の殿堂をクリック。
12077	Tap here to open Talents.	ここをタップしてタレントを開く。
12078	Use it to travel quickly.	これを使って素早く移動する。
12079	Select the Stunt tab, bo!	「アクション」タブを選んで、ボ！
12080	Heavily-armored Peco Peco	重装甲ペコペコ
12081	All right, I'm on my way.	分かった、今行くよ。
12082	What is the 【White Dove】?	【白鳩号】って何？
12083	Enter Festival Invitation	祭典招待に参加
12084	Dumby's Request ${1}/${2}	ダンビーの依頼 ${1}/${2}
12085	Those who get it, get it.	分かる人には分かる。
12086	I've been trying so hard!	ずっと頑張ってきたんだ！
12087	View the Roster of Heroes	英雄名簿を見る
12088	First time on an airship?	飛行船は初めて？
12089	Whoa!! What's happening?!	うわっ！！何が起きてるの？！
12090	Let's hear some applause!	拍手をどうぞ！
12091	Uses Remaining: ${1}/${2}	残り使用回数：${1}/${2}
12092	Obtainable by dismantling	解体で入手可能
12093	BOSS Final Blow achieved.	BOSSへのとどめ達成。
12094	Chat channel message test	チャットチャンネルメッセージテスト
12095	The guards have appeared!	衛兵が現れた！
12096	Item used. ${1} unlocked.	アイテムを使用。${1}を解放しました。
12097	Tsk, tsk. You guessed it.	ちぇっ、当てられたか。
12098	Kitten\nMeow! Meow! Meow!	子猫\nニャー！ニャー！ニャー！
12099	You Have the Highest Bid…	あなたが最高額入札者です…
12100	Pre-purchase Plan Changed	事前購入プランを変更しました
12101	Pre-purchase in Progress…	事前購入中…
12102	Select an engraving slot.	刻印スロットを選択してください。
12103	Division Assignment Time:	グループ分け時間：
12104	Go to Guild Battle Report	ギルド戦レポートへ
12105	Competition Misc Currency	競技用その他通貨
12106	Advanced Totem Skill Book	上級トーテムスキルブック
12107	Increased DMG to Monsters	モンスターへのダメージ増加
12108	Elemental Damage Increase	属性ダメージ増加
12109	DMG Reduction vs All Race	全種族からのダメージ軽減
12110	DMG Reduction vs All Size	全サイズからのダメージ軽減
12111	Looking for a Shot-Caller	指揮役を募集中
12112	Looking for a Drama Queen	お騒がせ役を募集中
12113	Looking for a Lucky Charm	幸運の女神役を募集中
12114	Clash of the Seven Royals	七王の激突
12115	Psychokinetic Astral Body	念動アストラルボディ
12116	Molten Gold Dragon Breath	溶金のドラゴンブレス
12117	Shield Spawn HP Loss@{1}%	シールド生成時HP -@{1}%
12118	Ring of Fire Warning Zone	火炎リング警告エリア
12119	Rectangular Flame AOE@{1}	長方形炎範囲攻撃@{1}
12120	Memory Game-Right Warning	メモリーゲーム・右警告
12121	Memory Game-Bottom Damage	メモリーゲーム・下ダメージ
12122	Sacred Shoulderwear Blank	聖なるショルダーウェア素体
12123	Exclusive Suggested Items	限定おすすめアイテム
12124	^{1}[War of Emperium]^{2}	^{1}[攻城戦]^{2}
12125	^{1}[Adventure Group]^{2}	^{1}[冒険グループ]^{2}
12126	The Mysterious Thief Gang	謎の盗賊団
12127	Suspicious Evidence (III)	怪しい証拠（III）
12128	The Cave Adventure Begins	洞窟冒険の始まり
12129	Allocate @{1} Stat Points	ステータスポイントを@{1}割り振る
12130	Recreational Mount Riding	マウントでお散歩
12131	Mountain's Power - Orange	山の力 - オレンジ
12132	Mountain's Power - Purple	山の力 - 紫
12133	Power of Eagle Eye - Blue	鷹の目の力 - 青
12134	PATCH_DOWNLOAD_FILE_ERROR	PATCH_DOWNLOAD_FILE_ERROR
12135	PATCH_ERROR_AND_SKIP_TIPS	PATCH_ERROR_AND_SKIP_TIPS
12136	LOCAL_GAME_VERSION_FORMAT	LOCAL_GAME_VERSION_FORMAT
12137	Gathering Expert - Mining	採集エキスパート - 採掘
12138	The finest Red Equipment.	最高級の赤装備。
12139	Quest Items: Fabre slime.	クエストアイテム：ファブルの粘液。
12140	A four-leaf Lucky Clover.	四つ葉のラッキークローバー。
12141	A large piece of Jellopy.	大きなゼロピーの塊。
12142	Use to Change Guild Name.	ギルド名変更に使用。
12143	Current Max level reached	現在の最大レベルに到達済み
12144	A Rest Beneath the Statue	像の下でひと休み
12145	The View Behind the Tower	塔の裏からの眺め
12146	Level-up Divine Art Totem	神術トーテムをレベルアップ
12147	Low-Tier Physical Defense	初級物理防御
12148	Low-Tier Abundant Healing	初級回復強化
12149	Pet Shard: Alice the Maid	ペットの欠片：メイドのアリス
12150	Pet Shard: Basilisk Scout	ペットの欠片：バジリスクスカウト
12151	Orchid Pavilion - Limited	蘭亭 - 期間限定
12152	Fashion Gala (@{1} Hours)	ファッションガラ（@{1}時間）
12153	Bonus Secret Gift · Day 7	ボーナス秘密ギフト・7日目
12154	Bonus Secret Gift · Day 6	ボーナス秘密ギフト・6日目
12155	Bonus Secret Gift · Day 5	ボーナス秘密ギフト・5日目
12156	Bonus Secret Gift · Day 4	ボーナス秘密ギフト・4日目
12157	Bonus Secret Gift · Day 3	ボーナス秘密ギフト・3日目
12158	Bonus Secret Gift · Day 2	ボーナス秘密ギフト・2日目
12159	Bonus Secret Gift · Day 1	ボーナス秘密ギフト・1日目
12160	Refinement Blessing Chest	精錬祝福チェスト
12161	Refinement Material Chest	精錬素材チェスト
12162	Hot Strawberry Cocoa Milk	ホットストロベリーココアミルク
12163	Contemplation Candle Pack	思索のキャンドルパック
12164	Dense Luminous Gold Ingot	高密度ルミナスゴールドインゴット
12165	Tier @{1} Green Equipment	Tier @{1} 緑装備
12166	Low-Tier Totem Skill Book	初級トーテムスキルブック
12167	Waterdrop Star Core - Red	ウォータードロップスターコア - 赤
12168	Guild League - Semifinals	ギルドリーグ - 準決勝
12169	Oak Scroll · Shoes-Orange	オークスクロール・靴-オレンジ
12170	Oak Scroll · Shoes-Purple	オークスクロール・靴-紫
12171	Oak Scroll · Cloak-Orange	オークスクロール・マント-オレンジ
12172	Bulwark Scroll·Cloak-Blue	ブルワークスクロール・マント-青
12173	Giant Scroll·Armor-Orange	ジャイアントスクロール・防具-オレンジ
12174	Giant Scroll·Armor-Purple	ジャイアントスクロール・防具-紫
12175	Hawkeye Scroll·Armor-Blue	ホークアイスクロール・防具-青
12176	Fate Scroll·Off-Hand-Blue	フェイトスクロール・サブ装備-青
12177	Ymir Scroll·Off-Hand-Blue	ユミルスクロール・サブ装備-青
12178	High-Quality Sticky Mucus	高品質な粘液
12179	Quick-acting White Potion	即効性ホワイトポーション
12180	Superior Fountain of Life	上級生命の泉
12181	First Aid Breath Medicine	応急処置用ブレス薬
12182	Lv. @{1} Two-Handed Spear	Lv. @{1} 両手槍
12183	Lv. @{1} One-Handed Spear	Lv. @{1} 片手槍
12184	Lv. @{1} Two-Handed Sword	Lv. @{1} 両手剣
12185	Lv. @{1} One-Handed Sword	Lv. @{1} 片手剣
12186	Superior Two-Handed Sword	上級両手剣
12187	Advanced Two-Handed Sword	高級両手剣
12188	Intermediate Knight Spear	中級ナイトスピア
12189	Basic Beck Battle Axe@{1}	基本ベックバトルアックス@{1}
12190	Not enough Trade attempts	取引回数が不足しています
12191	Not enough dungeon clears	ダンジョンクリア回数が不足しています
12192	Not enough treasure hunts	宝探し回数が不足しています
12193	Guild Contribution Points	ギルド貢献ポイント
12194	Field Auto-Battle Rewards	フィールドオートバトル報酬
12195	Divine Arts Totem Loadout	神術トーテム構成
12196	Season Power ^{1}${2}^{2}	シーズン戦力 ^{1}${2}^{2}
12197	A Member did not respond.	応答していないメンバーがいます。
12198	Shared Reward Count: ${1}	共有報酬回数：${1}
12199	Energy-Efficient Crafting	省エネクラフト
12200	Primordial Chaos · Ilmata	原初の混沌・イルマタ
12201	Summon Musical Instrument	楽器を召喚
12202	Western Izlude Prefecture	イズルード西部
12203	Eastern Izlude Prefecture	イズルード東部
12204	Western Morroc Prefecture	モロック西部
12205	Eastern Morroc Prefecture	モロック東部
12206	Southern Payon Prefecture	フェイヨン南部
12207	Western Geffen Prefecture	ゲフェン西部
12208	Eastern Geffen Prefecture	ゲフェン東部
12209	Research Progress Lv.${1}	研究進捗 Lv.${1}
12210	Card Album Reward Preview	カードアルバム報酬プレビュー
12211	Turn Undead [Buff Effect]	ターンアンデッド［バフ効果］
12212	Guild Battle Preparations	ギルド戦準備
12213	Crescent Blade Wheel Mark	クレセントブレードホイールマーク
12214	Grand Cross Grants Endure	グランドクロスでインデュア付与
12215	Rapid Smiting Triggers ST	ラピッドスマイティングで単体攻撃発動
12216	Skill Critical Parameters	スキルクリティカルパラメータ
12217	Maximum Number of Targets	最大対象数
12218	BDTarget_MaxStack_BigType	BDTarget_MaxStack_BigType
12219	Stasis Space (Deprecated)	静止空間（廃止予定）
12220	Instantly restores all HP	HPを即座に全回復
12221	Transform into a Red Note	レッドノートに変身
12222	Greater Psychic Shockwave	強化サイキックショックウェーブ
12223	Killer Book MATK Increase	キラーブックMATK増加
12224	Tower Area Indicator Mark	塔エリア表示マーク
12225	Phreeoni Continuous Drain	フリオニ持続吸収
12226	Ancient Tree's Protection	古木の加護
12227	Fruit Tree Turtle Passive	フルーツツリータートル・パッシブ
12228	Fairy Blessing - Max Life	フェアリーブレッシング - 最大HP
12229	Blade Mountain-Greatsword	ブレードマウンテン・グレートソード
12230	Cast AOE When Shield Ends	シールド終了時に範囲攻撃
12231	Blue Tracking Line Effect	ブルー追尾ラインエフェクト
12232	Bubble Attraction Control	バブル吸引制御
12233	Switch Enhance Soul Burst	ソウルバースト強化切替
12234	Rolling CutterBD_S@{1}_BD	ローリングカッターBD_S@{1}_BD
12235	Self-Destruct Speed Boost	自爆移動速度アップ
12236	Enhance Echoes ${1} times	エコーを${1}回強化
12237	No tavern rooms available	利用可能な酒場の部屋がありません
12238	Owner Sets Speaking Order	ホストが発言順を設定
12239	Amount Obtained This Week	今週の獲得量
12240	Seal Durability Remaining	封印耐久度残量
12241	Rank and Ranking Overview	ランク・ランキング概要
12242	Season Settlement Details	シーズン精算詳細
12243	Regional Risk Information	地域危険度情報
12244	Server Launch Celebration	サーバーオープン記念
12245	Insufficient funds to bid	入札資金が不足しています
12246	Close friend list is full	親しいフレンドリストが上限です
12247	Not enough Stall Currency	露店通貨が不足しています
12248	Appearance does not exist	外見が存在しません
12249	Invalid Divine Arts Totem	神術トーテムが無効です
12250	Invalid Tavern room type.	酒場の部屋タイプが無効です。
12251	Insufficient ${1} Floors.	${1}フロアが不足しています。
12252	Dummy NPC does not exist.	ダミーNPCが存在しません。
12253	You cannot kick yourself.	自分自身を追放することはできません。
12254	No Soul Echoes available.	利用可能なソウルエコーがありません。
12255	Select Level-up materials	レベルアップ素材を選択
12256	Level requirement not met	レベル条件を満たしていません
12257	Gift order does not exist	ギフト注文が存在しません
12258	Invalid escort wagon type	護衛ワゴンタイプが無効です
12259	Escort goods do not exist	護衛物資が存在しません
12260	Unable to view the Codex.	図鑑を閲覧できません。
12261	Failed to load the scene.	シーンの読み込みに失敗しました。
12262	Not enough party Members.	パーティメンバーが足りません。
12263	Refinement-Affected Stats	精錬影響ステータス
12264	Advanced Physical Defense	上級物理防御
12265	Advanced Earth Resistance	上級地属性耐性
12266	Advanced Water Resistance	上級水属性耐性
12267	Advanced Ghost Resistance	上級念属性耐性
12268	Shadow Moonlit Challenger	シャドウ・ムーンリットチャレンジャー
12269	^{1}Elemental Pursuit^{2}	^{1}エレメンタルパースート^{2}
12270	^{1}Thunder Shockwave^{2}	^{1}サンダーショックウェーブ^{2}
12271	^{1}Psychic Shockwave^{2}	^{1}サイキックショックウェーブ^{2}
12272	Guild Verification Passed	ギルド認証に成功しました
12273	The account doesn't exist	アカウントが存在しません
12274	Database operation failed	データベース操作に失敗しました
12275	Not enough required items	必要アイテムが不足しています
12276	Player instance not found	プレイヤーインスタンスが見つかりません
12277	The scene does not exist.	シーンが存在しません。
12278	Insufficient consumption.	消費量が不足しています。
12279	Unrecognized action type.	認識できない操作タイプです。
12280	Keep all guardians alive.	すべての守護者を生存させる。
12281	Time Until Next Invasion:	次の侵攻まで：
12282	Revive the ID tag's owner	IDタグの持ち主を復活させる
12283	Repair the damaged Turret	損傷したタレットを修理
12284	Board the prepared Turret	準備済みのタレットに搭乗
12285	Collection Level: Lv.${1}	コレクションレベル：Lv.${1}
12286	Player details are hidden	プレイヤー詳細は非公開です
12287	Failed to equip equipment	装備に失敗しました
12288	Incorrect equipment class	装備可能職業が正しくありません
12289	Not enough guild supplies	ギルド物資が不足しています
12290	Unlock · Nine-Tone Mantra	解放・九音真言
12291	A Friendship Set in Stone	石に刻まれた友情
12292	Still available This Week	今週まだ利用可能
12293	Hey, don't push yourself!	おい、無理するなよ！
12294	Establish Adventure Guild	冒険者ギルドを設立
12295	Adventure Group Evergreen	冒険グループ・エバーグリーン
12296	Created on ${2}/${3}/${1}	${2}/${3}/${1}に作成
12297	Function not yet unlocked	機能はまだ解放されていません
12298	Delete this build preset?	このビルドプリセットを削除しますか？
12299	Get Help Outside the Game	ゲーム外でヘルプを受ける
12300	Tap to Select a Soul Echo	タップしてソウルエコーを選択
12301	Tap to enter a build name	タップしてビルド名を入力
12302	All challenges completed.	すべてのチャレンジを完了しました。
12303	Fire damage taken +@{1}%.	受ける火属性ダメージ +@{1}%。
12304	Lucky Baphomet Jr. Lv@{1}	ラッキーバフォメットJr. Lv@{1}
12305	Settlement in ${1}d ${2}h	${1}日${2}時間後に精算
12306	<size=75>${1}</size> days	<size=75>${1}</size>日
12307	Blitz Beat【Invalid Shell】	ブリッツビート【無効な弾】
12308	Double Strafe【Stat Boost】	ダブルストレイフィング【ステータス強化】
12309	Set Single-Hit Damage Cap	単発ダメージ上限を設定
12310	Madogear Pilot Protection	魔導ギアパイロット保護
12311	[No Translation Required]	[翻訳不要]
12312	Link Reddening Check @{1}	赤リンク状態チェック @{1}
12313	Stone Blades - Outer Ring	ストーンブレード - 外周
12314	Here Comes the Big Bunny!	でっかいウサギが来るぞ！
12315	Blessing of Sacred Wisdom	聖なる叡智の祝福
12316	Lightning Strike Training	ライトニングストライク訓練
12317	Enhanced Lightning Strike	強化ライトニングストライク
12318	[Normal-Golden Thief Bug]	[ノーマル-黄金蟲]
12319	[Normal-Moonlight Flower]	[ノーマル-月夜花]
12320	Failed to add to favorites	お気に入り追加に失敗しました
12321	Banquet Invitation · Light	宴会招待・ライト
12322	Silverwing Covenant: Truth	シルバーウィングの盟約：真実
12323	Crazy Bunny Family Balloon	クレイジーバニーファミリーバルーン
12324	Hardened Rainbow Nightmare	ハーデンド・レインボーナイトメア
12325	One-Horned Radiant Chimera	一角の光輝くキメラ
12326	Rift successfully repaired	亀裂の修復に成功しました
12327	Longlong, hurry over here!	ロンロン、早くこっちへ！
12328	Purchase Period: ${1}-${2}	購入期間：${1}-${2}
12329	Physical Damage Reduction%	物理ダメージ軽減%
12330	Item MP Recovery Received%	受けるアイテムMP回復量%
12331	Global MP Recovery Effect%	全体MP回復効果%
12332	Damage to Water Monsters %	水属性モンスターへのダメージ %
12333	Damage to Ghost Monsters %	念属性モンスターへのダメージ %
12334	Encounter Golden Thief Bug	黄金蟲と遭遇
12335	Complete the Opening Dance	オープニングダンスを完了
12336	Guild Rankings and Rewards	ギルドランキングと報酬
12337	Combine @{1} Purple Totems	紫トーテムを@{1}個合成
12338	Combine @{1} Orange Totems	オレンジトーテムを@{1}個合成
12339	Obtain from 7-Day Check-In	7日間ログインで入手
12340	Find the Trial Instructor.	試練の教官を探す。
12341	Have at least @{1} friends	フレンドを@{1}人以上作る
12342	Follow Jax to the banquet.	ジャックスについて宴会へ。
12343	A letter suddenly arrives.	突然手紙が届く。
12344	Complete Season quest @{1}	シーズンクエスト@{1}を完了
12345	Obtain the Wild Boar mount	イノシシマウントを入手
12346	Rare Reward-Maya-MVP Limit	レア報酬-マヤー-MVP制限
12347	Prepare for the next trial	次の試練に備える
12348	Talk to Rhine about mounts	ラインにマウントについて聞く
12349	Clear out the nearby Horns	近くのホルンを一掃する
12350	Start Learning new talents	新しいタレントの習得を開始
12351	Reduces magic damage taken	受ける魔法ダメージを軽減
12352	% CRIT Resistance Increase	% クリティカル耐性増加
12353	Have a Chitchat with them.	彼らとおしゃべりする。
12354	Your friends list is full.	フレンドリストがいっぱいです。
12355	Appointed as Charisma Baby	カリスマベイビーに就任しました
12356	Game Mode Auction Dividend	ゲームモードオークション配当
12357	Season Rank Reward Reissue	シーズンランク報酬再配布
12358	Low Guild Activity Warning	ギルド活動低下警告
12359	[Siege War] Victory Reward	[攻城戦] 勝利報酬
12360	Complete Collection Reward	コレクション完了報酬
12361	Personal Points: ${1}/${2}	個人ポイント：${1}/${2}
12362	Caravan Escort Route: ${1}	キャラバン護衛ルート：${1}
12363	Auto Counter When Attacked	被攻撃時オートカウンター
12364	Reward Vault - Rift Crisis	報酬保管庫 - リフトクライシス
12365	Realm of the Gods - Normal	神々の領域 - ノーマル
12366	Failed to load event data.	イベントデータの読み込みに失敗しました。
12367	Apply for joining the team	チーム参加を申請
12368	Failed to create character	キャラクター作成に失敗しました
12369	Failed to Select character	キャラクター選択に失敗しました
12370	Defeat the Nearby Porings*	近くのポリンを倒す*
12371	Rhine wants to talk to You	ラインがあなたと話したがっています
12372	Give the Tree Bark to Boya	木の樹皮をボヤに渡す
12373	Meet up with Boya and Wule	ボヤとウーレに合流
12374	Take the airship to Morroc	飛行船でモロックへ向かう
12375	Unlocking this build costs	このビルドの解放コスト
12376	Escort Mission Preparation	護衛ミッション準備
12377	Stronghold War Preparation	拠点戦準備
12378	Equipment Refining Details	装備精錬詳細
12379	Class-Specific Item - Cart	職業専用アイテム - カート
12380	Pinnacle Top Ten - Archers	頂点トップ10 - アーチャー
12381	Pinnacle Top Ten - Thieves	頂点トップ10 - シーフ
12382	Profile Card Album Display	プロフィールカードアルバム表示
12383	Appearance Shop - Featured	外見ショップ - 注目
12384	Delete all processed mail?	処理済みメールをすべて削除しますか？
12385	Untold Stories of Prontera	知られざるプロンテラ物語
12386	Press and hold for details	長押しで詳細表示
12387	View Frozen Proceeds Rules	凍結売上金ルールを見る
12388	No matching results found.	一致する結果が見つかりません。
12389	Obtain through Life Skills	生活スキルで入手
12390	To the Lucky Investigator:	幸運の調査員へ：
12391	S@{1} Large Card Pool @{2}	S@{1} 大型カードプール @{2}
12392	S@{1} Small Card Pool @{2}	S@{1} 小型カードプール @{2}
12393	Gift cost refunded by mail	ギフト費用はメールで返金されました
12394	About Cross-server Friends	クロスサーバーフレンドについて
12395	${1} gave ${2} ${3} * ${4}	${1}が${2}に${3} * ${4}を贈りました
12396	Group name cannot be empty	グループ名を空欄にはできません
12397	${1}'s party is recruiting	${1}のパーティがメンバー募集中
12398	Skill slot cannot be empty	スキルスロットを空欄にはできません
12399	Supplies Actually Obtained	実際に獲得した物資
12400	Not enough guild supplies.	ギルド物資が不足しています。
12401	Reach Alchemy Lab Lv. ${1}	錬金ラボをLv.${1}にする
12402	Kill ${1} Monsters in ${2}	${2}でモンスターを${1}体倒す
12403	Undead Property Resistance	不死属性耐性
12404	No Guild Available to Join	参加可能なギルドがありません
12405	No Guild Information Found	ギルド情報が見つかりません
12406	You can Impeach after ${1}	${1}後に弾劾できます
12407	Last Week's Activity: ${1}	先週の活動：${1}
12408	Load ${1}/${2} to Get Help	積み込み ${1}/${2} で支援を受ける
12409	Refreshed Today: ${1}/${2}	本日の更新：${1}/${2}
12410	Data updates once per hour	データは1時間ごとに更新
12411	South Morroc State Capital	南モロック州都
12412	Sketch Card: Goblin Leader	スケッチカード：ゴブリンリーダー
12413	Shadow Card: Goblin Leader	シャドウカード：ゴブリンリーダー
12414	Vitality +@{1}, Luck +@{2}	VIT +@{1}、LUK +@{2}
12415	Armor cannot be destroyed.	防具は破壊されません。
12416	Smite damage is increased.	スマイトのダメージが増加。
12417	Continuously recover Life.	HPを継続回復。
12418	Unlocks @{1} Extra skills.	追加スキルを@{1}個解放。
12419	Transform into Lava Poring	ラーヴァポリンに変身
12420	Defense slightly increased	防御力が少し上昇
12421	Continuously restores Life	HPを継続的に回復
12422	Turn Undead【Extra Trigger】	ターンアンデッド【追加発動】
12423	Official Recommended Keys:	公式推奨キー：
12424	Stationary Skill Follow-Up	その場発動スキル追撃
12425	Maya Normal Attack - Earth	マヤー通常攻撃 - 地属性
12426	Skill@{1} Kun Water Vortex	スキル@{1} クン・ウォーターボルテックス
12427	Battle Royale Screen Shake	バトルロワイヤル画面揺れ
12428	Skill@{1} Square Formation	スキル@{1} スクエアフォーメーション
12429	Memory Game-Bottom Warning	メモリーゲーム・下警告
12430	Fly Away During Transition	遷移中に飛び去る
12431	Monster Normal Attack-Fire	モンスター通常攻撃-火属性
12432	Warg Companion (Warg Bite)	ウォーグコンパニオン（ウォーグバイト）
12433	Enhance Warg Hunt (Ranged)	ウォーグハント強化（遠距離）
12434	Monster Normal Attack-Wind	モンスター通常攻撃-風属性
12435	Monster Normal Attack-Void	モンスター通常攻撃-無属性
12436	Monster Normal Attack-Dark	モンスター通常攻撃-闇属性
12437	Doppelganger Normal Attack	ドッペルゲンガー通常攻撃
12438	Ancient Tree Normal Attack	古木通常攻撃
12439	Ninja Art: Vanishing Trail	忍法：消える足跡
12440	Drake Minion Normal Attack	ドレイクミニオン通常攻撃
12441	Animation Only (Phase @{1}	アニメーションのみ（フェーズ @{1}
12442	Sandstorm Tutorial Version	サンドストームチュートリアル版
12443	Stone Pillar Self-Destruct	石柱自爆
12444	Cooldown Placeholder Skill	クールダウン用プレースホルダースキル
12445	Moonlight Flower Bell Cage	月夜花ベルケージ
12446	Create @{1} Homing Bubbles	追尾バブルを@{1}個生成
12447	Launch Green Homing Bubble	グリーン追尾バブルを発射
12448	Targeted Stationary Bubble	指定位置固定バブル
12449	Create @{1} Ground Bubbles	地上バブルを@{1}個生成
12450	Skill@{1}Meteor Shower@{2}	スキル@{1}メテオシャワー@{2}
12451	Skill@{1}Melodic Flame@{2}	スキル@{1}メロディックフレイム@{2}
12452	Roar Rockfall-No Logic Yet	咆哮落石（ロジック未実装）
12453	Song of Suffering - Murmur	苦難の諫歌 - ローハム
12454	Melodic High-Energy Impact	メロディック高エネルギー衝撃
12455	Exorciser Spell: Free Will	エクソシスト呪文：フリーウィル
12456	S@{1}Rolling Blade Barrage	S@{1}ローリングブレード連撃
12457	Event Opening Announcement	イベント開始アナウンス
12458	Invalid card slot position	カードスロット位置が無効です
12459	Please select your Locate.	場所を選択してください。
12460	Stat points are available.	ステータスポイントを割り振れます。
12461	${1} new messages received	新着メッセージ${1}件
12462	Voice message is too short	ボイスメッセージが短すぎます
12463	Clue Treasure Map: Library	手がかり宝の地図：図書館
12464	Battle Royale Supply Crate	バトルロワイヤル補給箱
