Index	English	Japanese_Translation
6001	Wave White Flag	白旗ウェーブ
6002	Dismantle Items	アイテムを解体
6003	^{1}Focus fire!	^{1}集中砲火！
6004	Star Traveler I	スター・トラベラー I
6005	Star Traveler V	スター・トラベラー V
6006	Soaring Sky III	ソアリング・スカイIII
6007	Woof woof woof!	ワンワンワン！
6008	Complete Reward	完了報酬
6009	Endurance Orbit	耐久オービット
6010	Attribute Orbit	属性オービット
6011	Distance to End	終了までの距離
6012	Apply Engraving	刻印を適用
6013	Losers' Bracket	敗者復活戦
6014	Defeat the Boss	ボスを倒す
6015	Defend the Flag	旗を守る
6016	Sub-Battlefield	サブ戦場
6017	Match has ended	試合は終了しました
6018	Warzone Ranking	戦場ランキング
6019	Activity Points	アクティビティポイント
6020	Title Materials	称号素材
6021	Appearance Item	外見アイテム
6022	Completion Time	クリア時間
6023	Times Named MVP	MVP獲得回数
6024	Crusader Branch	クルセイダー系統
6025	Alchemist Class	アルケミストクラス
6026	Path of Destiny	運命の道
6027	Home Background	ホーム背景
6028	Dungeon Cleared	ダンジョンクリア
6029	PvP Enthusiasts	PvP愛好家
6030	Newbies Welcome	初心者歓迎
6031	Handsome Prince	ハンサムな王子
6032	Performance End	パフォーマンス終了
6033	Vehicle Stealth	車両ステルス
6034	Psychic Mastery	サイキックマスタリー
6035	Dive Bomb - AOE	急降下爆撃 - AOE
6036	Fire Wall - AOE	ファイアウォール - AOE
6037	Load Cannonball	砲弾を装填
6038	Blazing Pursuit	ブレイジング・パースート
6039	Powerful Vivify	強力なヴィヴィファイ
6040	Total DMG Taken	総被ダメージ
6041	Stronghold @{1}	要塞 @{1}
6042	Buy New Clothes	新しい服を買う
6043	Enjoy Fine Food	美食を楽しむ
6044	Prontera Region	プロンテラ地域
6045	Shattered Metal	砕けた金属
6046	Enhance Display	強化表示
6047	Solid Wood Core	堅木コア
6048	Fine Fiber Tuft	上質な繊維束
6049	Standard Thread	標準糸
6050	Advanced Thread	上級糸
6051	^{1}[Event]^{2}	^{1}【イベント】^{2}
6052	^{1}[Guide]^{2}	^{1}【ガイド】^{2}
6053	Unusual Tremors	異常な振動
6054	A Nasty Monster	厄介なモンスター
6055	A Familiar Face	見覚えのある顔
6056	Discover a Clue	手がかりを発見
6057	Weapon Rankings	武器ランキング
6058	Weekly Rankings	週間ランキング
6059	Debuff Immunity	デバフ無効
6060	Cow Cow Cow Cow	モーモーモーモー
6061	Parameter error	パラメータエラー
6062	Growth Crafting	成長クラフト
6063	Skill Ascension	スキル昇格
6064	Normal Gift Box	ノーマルギフトボックス
6065	Appearance @{1}	外見 @{1}
6066	Quite soft fur.	とても柔らかな毛皮。
6067	Wandering Elder	さすらいの長老
6068	Honeyed Antlers	蜜漬けの角
6069	Reset Materials	素材をリセット
6070	Initial Preview	初期プレビュー
6071	Maximum Skills:	最大スキル数:
6072	Effect Overview	効果概要
6073	Pet Shard: Goat	ペットのかけら: ヤギ
6074	Zherlthsh Shard	ゼルトシュのかけら
6075	Spicy Herb Wrap	スパイシーハーブラップ
6076	Vitality Potion	活力ポーション
6077	Soul Echo Chest	ソウルエコーチェスト
6078	Novice Portrait	ノービスの肖像
6079	Knight Portrait	ナイトの肖像
6080	Wizard Portrait	ウィザードの肖像
6081	Archer Portrait	アーチャーの肖像
6082	Hunter Portrait	ハンターの肖像
6083	Dancer Portrait	ダンサーの肖像
6084	Sniper Portrait	スナイパーの肖像
6085	Ranger Portrait	レンジャーの肖像
6086	Priest Portrait	プリーストの肖像
6087	Portrait: Rogue	肖像: ローグ
6088	Meteorite Blade	メテオライトブレード
6089	Meteorite Chunk	メテオライトの塊
6090	Dead Man's Nail	死人の爪
6091	Green Equipment	緑の装備
6092	Orange Headwear	オレンジの帽子
6093	Purple Headwear	紫の帽子
6094	Glowing Crystal	輝くクリスタル
6095	Chivalry Emblem	騎士道のエンブレム
6096	Cracked Diamond	ひび割れたダイヤモンド
6097	Crest of Heroes	英雄の紋章
6098	Pure Source Dew	純粋な源泉の雫
6099	Aether Catalyst	エーテル触媒
6100	Starlight Stone	スターライトストーン
6101	Meow Fish Jerky	ニャーフィッシュジャーキー
6102	Illusion Flower	幻想の花
6103	Star Diamond IX	スターダイヤモンドIX
6104	Star Diamond VI	スターダイヤモンドVI
6105	Star Diamond IV	スターダイヤモンドIV
6106	Star Diamond II	スターダイヤモンドII
6107	Crystal of Pain	苦痛のクリスタル
6108	Adventure Coins	冒険コイン
6109	Giant Snake Egg	大蛇の卵
6110	Beginner Potion	初心者ポーション
6111	Lv. @{1} Shield	Lv. @{1} シールド
6112	Lv. @{1} Dagger	Lv. @{1} ダガー
6113	Superior Dagger	上級ダガー
6114	Advanced Dagger	高級ダガー
6115	Unlock New Slot	新しいスロットを解放
6116	Novice Necklace	ノービスネックレス
6117	Novice Earrings	ノービスイヤリング
6118	Sky Dragon Wing	天空竜の翼
6119	Mistletoe Staff	ヤドリギスタッフ
6120	Wind Spirit Axe	風の精霊の斧
6121	Novice Guisarme	ノービスギサルメ
6122	Silvermoon Harp	シルバームーンハープ
6123	Pearltear Conch	パールティアコンチ
6124	Not enough wins	勝利数が不足しています
6125	Card: Megalodon	カード: メガロドン
6126	Card: Shellfish	カード: 貝類
6127	Card: Drainliar	カード: ドレインライアー
6128	Card: Worm Tail	カード: ワームテール
6129	Card: Thief Bug	カード: シーフバグ
6130	Card: Roda Frog	カード: ロダフロッグ
6131	Guild Positions	ギルド役職
6132	Guild Diplomacy	ギルド外交
6133	Party Challenge	パーティチャレンジ
6134	Gifting Details	ギフト詳細
