Index	English	Japanese_Translation
22001	Wow! What an exquisite treasure chest! Hurry and see what goodies are inside!	わあ！なんて立派な宝箱！早く中身を見てみよう！
22002	You need to learn how to configure Auto-Potion. This Demon can't Fortify you.	オートポーションの設定方法を習得する必要があります。このデーモンでは強化できません。
22003	Only @{1} steps to go. For step @{2}, tap this item to place it on the board.	あと@{1}ステップ。ステップ@{2}では、このアイテムをタップして盤面に配置します。
22004	Curious about this place? Feel free to look around. I'll be waiting up ahead.	ここが気になる？自由に見て回っていいよ。先で待ってる。
22005	You removed [${1}] from the Exchange. Please collect it from the attachments.	[${1}]を取引所から取り下げました。添付から受け取ってください。
22006	What do you say, Adventurer? This is a rare opportunity—how about buying one?	どうだ、冒険者？めったにない機会だ。1つ買っていかないか？
22007	Where has that boy run off to now? He can't even stay home for a single hour!	あの子、今度はどこへ行ったの？1時間だって家にいられないんだから！
22008	There are so many trees and flowers here. They seem to fill me with strength.	木も花もたくさんある。見ているだけで力が湧いてくるみたい。
22009	Ugh, why did I choose a partner like this? I'd be better off doing it myself.	もう、どうしてこんな相棒を選んだんだろう。自分でやったほうがマシだよ。
22010	When we were young, this gate wasn't nearly this big. They expanded it later.	若い頃は、この門もこんなに大きくなかった。あとから拡張されたんだ。
22011	Touch the Book of Job Advance ahead and choose the path that's right for You.	前方の転職の書に触れて、自分に合う道を選ぼう。
22012	<color=#F8B453>Go to the teleportation portal to enter the Inner Area</color>	<color=#F8B453>転送ポータルへ向かい、内部エリアに入る</color>
22013	Watch the bubbles' paths and keep bubbles of different colors from colliding.	バブルの軌道を見て、違う色のバブル同士がぶつからないようにしよう。
22014	Almachia is attacking! Watch out for the Blackhole in the center of the area!	アルマキアが攻撃中！エリア中央のブラックホールに注意！
22015	${2} from Guild ${1} activated Experimental Puppet Σ! Adventurers, watch out!	ギルド${1}の${2}が実験用パペットΣを起動！冒険者のみんな、気をつけて！
22016	${2} from Guild ${1} Defeated Experimental Puppet Σ! Let the cheers ring out!	ギルド${1}の${2}が実験用パペットΣを撃破！歓声を上げよう！
22017	Activate four Safe Zones simultaneously. ${1} seconds until the beat explodes	4つのセーフゾーンを同時に起動。ビート爆発まで${1}秒
22018	Ghost ships will arrive in ${1} seconds! Destroy them with explosive barrels!	ゴーストシップが${1}秒後に到着！爆発樽で破壊しよう！
22019	${1} spent ${2} Guild Contribution to Level-up the ${3} building to Lv. ${4}.	${1}がギルド貢献度${2}を消費し、${3}施設をLv. ${4}にレベルアップしました。
22020	^{1}[${1}]^{2} added a high-quality accelerant, replacing [${2}] with [${3}].	^{1}[${1}]^{2}が高品質促進剤を追加し、[${2}]を[${3}]に置き換えました。
22021	Bobo\nThe great king has arrived! All you monsters and fiends, clear the way!	ボボ\n大王様のお出ましだ！モンスターも悪党も道を開けろー！
22022	Soldier\nReporting, Commander! Something unusual is happening at the Pyramid!	兵士\n報告します、隊長！ピラミッドで異変が起きています！
22023	^{1}The summit isn't the end. It's where you first glimpse the next peak.^{2}	^{1}頂上は終点じゃない。次の高みが初めて見える場所だ。^{2}
22024	Use a Treasure Map @{1} times (use a Standard Treasure Map from the Backpack)	宝の地図を@{1}回使用（バックパック内の通常宝の地図を使用）
