Index	English	Japanese_Translation
15001	Matchmaking data does not exist.	マッチングデータが存在しません。
15002	Matchmaking data already exists.	マッチングデータはすでに存在します。
15003	Repeat items cannot be inserted.	同じアイテムは挿入できません。
15004	Invitation is still on cooldown.	招待はクールダウン中です。
15005	^{1}Acolyte Talent @{1}-@{2}^{2}	^{1}アコライトタレント @{1}-@{2}^{2}
15006	^{1}Invigorate Body and Mind^{2}	^{1}心身活性化^{2}
15007	Hundredfold Tempering - Vitality	百錬成鋼 - VIT
15008	Golden Boundary-Breaking Remnant	黄金の境界突破の残滓
15009	^{1}Magic Cannon Calibration^{2}	^{1}マジックキャノン調整^{2}
15010	Prerequisite quest not completed	前提クエストが未完了です
15011	Hotbar equipment is on cooldown.	ホットバー装備はクールダウン中です。
15012	Cannot switch scenes while dead.	死亡中はシーンを切り替えられません。
15013	The instance battle is not over.	インスタンス戦闘がまだ終了していません。
15014	This preset is already selected.	このプリセットはすでに選択されています。
15015	Artillery Used This Season: ${1}	今シーズンの砲兵使用数：${1}
15016	Incorrect number of BUFF Floors.	BUFF階層数が正しくありません。
15017	Open the Treasure in Maya's Nest	マヤーの巣の宝箱を開ける
15018	You can't add any more Stickers.	これ以上ステッカーを追加できません。
15019	The Soul Burst skill is so cool!	ソウルバースト、すごくカッコいい！
15020	Linked special logic script buff	連動特殊ロジックスクリプトバフ
15021	Tower reward Configuration Error	タワー報酬設定エラー
15022	NPC Interaction Parameter error.	NPCインタラクションパラメータエラー。
15023	The delisted item does not exist	出品取消済みアイテムが存在しません
15024	Not enough Enhancement Materials	強化素材が不足しています
15025	Equipment repair Parameter error	装備修理パラメータエラー
15026	Equipment has not been appraised	装備が未鑑定です
15027	No map Revive information found.	マップの復活情報が見つかりません。
15028	Cancel Impeachment status error.	弾劾取消ステータスエラー。
15029	Invalid guild group coordinates.	ギルドグループ座標が無効です。
15030	This member is not in the group.	このメンバーはグループにいません。
15031	This player is not in the guild.	このプレイヤーはギルドにいません。
15032	Dispatch the Royal Caravan once.	王都キャラバンを1回派遣する。
15033	Come on, try to Ride your Mount!	さあ、マウントに乗ってみよう！
15034	Select the build you want to use	使用するビルドを選択
15035	Join Kafra: Survivor Battle solo	カプラ：サバイバルバトルにソロ参加
15036	Highest Damage in a Single Match	1試合最高ダメージ
15037	A Narrow Victory Is Within Reach	僅差の勝利は目前
15038	Kafra: Battle of Survivors  ${1}	カプラ：サバイバルバトル  ${1}
15039	Skill bar is full. Cannot equip.	スキルバーが満杯です。装備できません。
15040	Please help me! I'll reward you!	助けて！ちゃんとお礼するから！
15041	Physical ATK increased by @{1}%.	物理ATKが@{1}%増加。
15042	Movement Speed -@{1}%, AGI -@{2}	移動速度 -@{1}%、AGI -@{2}
15043	Damage taken increased by @{1}%.	被ダメージが@{1}%増加。
15044	Attack Speed increased by ${1}%.	攻撃速度が${1}%増加。
15045	Damage dealt increased by @{1}%.	与ダメージが@{1}%増加。
15046	Immune to damage from Beat Cage.	ビートケージのダメージを無効化。
15047	At @{1} stacks, inflicts Petrify	@{1}スタックで石化を付与
