Index	English	Japanese_Translation
7001	Leave the Turret	砲台から離れる
7002	Cannot Be Marked	マーク不可
7003	Treasure Hunting	宝探し
7004	Kunkka ultimate.	クンカの奥義。
7005	Show Unread Only	未読のみ表示
7006	Owned by Default	初期所持
7007	Premium Benefits	プレミアム特典
7008	Gladly accepted!	喜んでお受けします！
7009	One-Year Promise	一年の約束
7010	Fashion Vanguard	ファッションの先駆者
7011	Fashion Beginner	ファッション初心者
7012	Wine Connoisseur	ワイン通
7013	A New Friendship	新たな友情
7014	First MVP Defeat	初めてのMVP討伐
7015	Hatch Egg Maniac	孵化マニア
7016	100 Eggs Hatched	卵を100個孵化
7017	Nine S-Rank Pets	Sランクペット9体
7018	Four S-Rank Pets	Sランクペット4体
7019	First S-Rank Pet	初めてのSランクペット
7020	Echoes Assembled	残響を集める
7021	Illusion Arrives	幻影の到来
7022	Refine: Pinnacle	精錬：極致
7023	Refine: Advanced	精錬：上級
7024	Appraisal Basics	鑑定の基礎
7025	First Rare Items	初めてのレアアイテム
7026	Swordsman Mentor	ソードマン教官
7027	Point Protection	ポイント保護
7028	First Match Only	初回マッチのみ
7029	Victory Rankings	勝利ランキング
7030	Countdown: ${1}s	カウントダウン：${1}秒
7031	Enemy Drop Point	敵の降下地点
7032	Next Zone Shrink	次のエリア縮小
7033	Select a mission	ミッションを選択
7034	Th-That many...?	そ、そんなに…？
7035	View Declaration	宣言を確認
7036	Apply to Support	支援に申請
7037	Withdraw Support	支援を取り下げる
7038	Remind to Create	作成をリマインド
7039	Battlefield Info	戦場情報
7040	Star Crown Orbit	星冠軌道
7041	Frosty Sky Orbit	霜天軌道
7042	Blue Ocean Orbit	蒼海軌道
7043	Head Crush Slow.	ヘッドクラッシュ減速。
7044	Dance Move Right	ダンス移動・右
7045	Nothing Selected	未選択
7046	New Build Preset	新しいビルドプリセット
7047	Select Equipment	装備を選択
7048	Faction Settings	陣営設定
7049	Disable Messages	メッセージを無効化
7050	Flame of Fortune	幸運の炎
7051	Not yet achieved	未達成
7052	Challenge · Isti	チャレンジ・イスティ
7053	Challenge · Irmo	チャレンジ・イルモ
7054	Full Steam Ahead	全速前進
7055	Fatigue Immunity	疲労無効
7056	Cloud Connection	クラウド接続
7057	Party-Wipe Skill	全滅スキル
7058	Turn Toward @{1}	@{1}の方を向く
7059	Poring Transform	ポリン変身
7060	Distribute Gifts	ギフトを配る
7061	Blazing Radiance	灼熱の輝き
7062	Fatal Temptation	致命の誘惑
7063	Nightfall Finale	夜幕のフィナーレ
7064	Battle Axe Smash	バトルアックススマッシュ
7065	Mace Proficiency	メイス熟練
7066	Add New Products	新商品を追加
7067	Open More Stalls	露店枠を拡張
7068	Sixfold Blessing	六重の祝福
7069	Create Ambulance	救護車を作成
7070	Hidden Land Boss	隠された地のボス
7071	[Normal-Pharaoh]	[ノーマル-ファラオ]
7072	Bonfire Blessing	焚き火の祝福
7073	Lucky Koi Enters	幸運の鯉が登場
7074	Entry Time: ${1}	入場時間：${1}
7075	Friendly Reminder	お知らせ
7076	${1}d ${2}h ${3}m	${1}d ${2}h ${3}m
7077	Hunting Challenge	ハンティングチャレンジ
7078	Battlefield Skill	戦場スキル
7079	Partywide Silence	パーティ全体沈黙
7080	Sage's Stone Helm	賢者の石の兜
7081	Lovely Sleep Mask	かわいいアイマスク
7082	Fruit Tree Turtle	果樹ガメ
7083	Silver Moon Witch	銀月の魔女
7084	Number of Affixes	オプション数
7085	Base EXP Increase	Base EXP増加
7086	Wave Refresh Time	ウェーブ更新時間
7087	Goblin Steamrider	ゴブリンスチームライダー
7088	Head to the Scene	現場へ向かう
