Index	English	Japanese_Translation
1	、	、
2	；	；
3	：	：
4	K	K
5	M	M
6	B	B
7	s	s
8	S	S
9	G	G
10	T	T
11	≥	≥
12	d	d
13	I	I
14	，	，
15	A	A
16	F	F
17	Ⅲ	Ⅲ
18	Ⅱ	Ⅱ
19	Ⅰ	Ⅰ
20	V	V
21	C	C
22	D	D
23	E	E
24	¥	¥
25	Go	GO
26	HP	HP
27	SP	SP
28	OK	OK
29	Me	自分
30	or	または
31	ID	ID
32	II	II
33	CT	CT
34	No	No
35	ST	ST
36	2H	2H
37	1H	1H
38	IV	IV
39	si	シ
40	la	ラ
41	so	ソ
42	fa	ファ
43	mi	ミ
44	re	レ
45	do	ド
46	P1	P1
47	P2	P2
48	P3	P3
49	Duo	デュオ
50	Sit	座る
51	Use	使用
52	Fox	キツネ
53	JOB	JOB
54	Lv.	Lv.
55	MVP	MVP
56	STR	STR
57	AGI	AGI
58	VIT	VIT
59	INT	INT
60	DEX	DEX
61	LUK	LUK
62	EXP	EXP
63	New	NEW
64	HOT	HOT
65	Boa	ボア
66	HIT	HIT
67	MP%	MP%
68	All	すべて
69	Pet	ペット
70	N/A	なし
71	MAX	MAX
72	Req	条件
73	Axe	斧
74	Map	マップ
75	Buy	購入
76	Add	追加
77	And	および
78	You	あなた
79	AFK	放置
80	LV.	LV.
81	Bid	入札
82	Log	ログ
83	sec	秒
84	Fee	手数料
85	Bow	弓
86	Low	低
87	Red	赤
88	Off	OFF
89	Cut	カット
90	Dig	掘る
91	Aid	救護
92	Hot	人気
93	Max	最大
94	NPC	NPC
95	II+	II+
96	III	III
97	Nia	ニア
98	Sif	シフ
99	Box	箱
100	Dad	お父さん
101	Mom	お母さん
102	Kid	子供
103	Spu	スプー
104	Lak	ラック
105	Man	男性
106	Ari	アリ
107	Cat	ネコ
108	TBD	未定
109	Inn	宿屋
110	Bob	ボブ
111	Jax	ジャックス
112	min	分
113	Job	職業
114	ID:	ID:
115	NEW	NEW
116	Yes	はい
117	Oh.	おや。
118	Shy	恥ずかしい
119	Ugh	うっ
120	Ha!	ハッ！
121	Set	セット
122	Hat	帽子
123	Ore	原石
124	Egg	卵
125	Cow	ウシ
126	Eel	ウナギ
127	Rod	ロッド
128	Tap	タップ
129	Hit	攻撃
130	AoE	範囲
131	Nun	シスター
132	DPS	DPS
133	Solo	ソロ
134	Edit	編集
135	Save	保存
136	Menu	メニュー
137	Exit	退出
138	Back	戻る
139	Hard	ハード
140	Rank	ランク
141	Pipe	パイプ
142	Lion	ライオン
143	Bobo	ボーボー
144	Goat	ヤギ
145	Type	タイプ
146	BASE	BASE
147	Auto	自動
148	None	なし
149	Thai	タイ語
150	Yoyo	ヨーヨー
151	Horn	ホーン
152	Coco	ココ
153	Pupa	プパ
154	Muka	ムカ
155	Isis	イシス
156	Wolf	ウルフ
157	Myst	ミスト
158	Phen	フェン
159	Marc	マルク
160	Hode	ホード
161	Crab	クラブ
162	Jakk	ジャック
163	Send	送信
164	PATK	物理攻撃
165	MATK	魔法攻撃
166	PDEF	物理防御
167	MDEF	魔法防御
168	FLEE	回避
169	CRIT	クリティカル
170	MSPD	移動速度
171	ASPD	攻撃速度
172	HIT%	HIT%
173	Life	HP
174	Rage	怒り
175	Card	カード
176	Chat	チャット
177	Time	時間
178	Shop	ショップ
179	Calm	平静
180	Bind	帰属
181	Sell	売却
182	Sort	整頓
183	Tier	段階
184	Slot	スロット
185	Pass	パス
186	Mode	モード
187	Misc	その他
188	Gift	ギフト
189	Job:	職業:
190	UID：	UID：
191	Meow	ニャー
192	Fire	火
