Index	English	Japanese_Translation
14001	Double Strafe【Trigger Effect】	ダブルストレイフィング【発動効果】
14002	Target: <#ffffff>${1}</color>	対象: <#ffffff>${1}</color>
14003	Glast Heim Culvert Floor @{1}	グラストヘイム地下水路 @{1}F
14004	Skills refresh in ${1} seconds	スキル更新まで${1}秒
14005	Sweetheart Tea Party · Soufflé	スイートハート・ティーパーティ・スフレ
14006	Eden Group: Commendation Vault	楽園団：表彰保管庫
14007	Acquisition Progress This Week	今週の獲得進捗
14008	Current Unseal Progress: ${1}%	現在の封印解除進捗: ${1}%
14009	Leave the dungeon in ${1} sec.	${1}秒後にダンジョンを退出
14010	Ranged Magic Damage Reduction%	遠距離魔法ダメージ軽減%
14011	Continue Investigating Deeper…	さらに奥を調査する…
14012	^{1}Defend the Dragon Seal^{2}	^{1}竜の封印を守れ^{2}
14013	This event has not opened yet.	このイベントはまだ開催されていません。
14014	${1} remaining in this chapter	このチャプターの残り${1}
14015	Allocate @{1} Free Stat Points	自由ステータスポイントを@{1}割り振る
14016	Participate in @{1} MVP events	MVPイベントに@{1}回参加
14017	Continue exploring Orc Village	オーク村の探索を続ける
14018	Guild League Preliminary Quest	ギルドリーグ予選クエスト
14019	Rare Reward-Angeling-MVP Limit	レア報酬-エンジェリング-MVP制限
14020	Rare Reward-Deviling-MVP Limit	レア報酬-デビルリング-MVP制限
14021	Rare Reward-Orc Hero-MVP Limit	レア報酬-オークヒーロー-MVP制限
14022	Rare Reward-Phreeoni-MVP Limit	レア報酬-フリオニ-MVP制限
14023	Rare Reward-Orc Lord-MVP Limit	レア報酬-オークロード-MVP制限
14024	Rare Reward-Mistress-MVP Limit	レア報酬-ミストレス-MVP制限
14025	Rare Reward-Baphomet-MVP Limit	レア報酬-バフォメット-MVP制限
14026	Hidden Treasure--Earthly Fiend	隠された宝--地上の魔物
14027	Defeat MVP Angeling in a Party	パーティでMVPエンジェリングを倒す
14028	Defeat MVP Orc Hero in a party	パーティでMVPオークヒーローを倒す
14029	Defeat MVP Phreeoni in a party	パーティでMVPフリオニを倒す
14030	Defeat Hard Pharaoh in a party	パーティでハード・ファラオを倒す
14031	Defeat Normal Ishti in a party	パーティでノーマル・イスティを倒す
14032	Defeat Normal Nesha in a party	パーティでノーマル・ナーシャを倒す
14033	Defeat Normal Mirko in a party	パーティでノーマル・ミルコを倒す
14034	Complete all Genesis Movements	ジェネシスの全楽章を完了
14035	Tell Rhine how your trial went	試練の結果をラインに伝える
14036	Bobo has something to tell you	ボボが話したいことがある
14037	Pick up the strange instrument	奇妙な楽器を拾う
14038	Listen to the Soldier's Report	兵士の報告を聞く
14039	Ask Bragis about the situation	状況についてブラギスに尋ねる
14040	Increases your healing by ${1}	回復量が${1}増加
14041	Affects your Wind skill damage	風属性スキルダメージに影響
14042	Affects your Fire skill damage	火属性スキルダメージに影響
14043	Affects your Holy skill damage	聖属性スキルダメージに影響
14044	Find Louis, Martha, and Katie.	ルイ、マーサ、ケイティを探す。
14045	Gift of Time Crystal Gift Mail	時間の贈り物クリスタル ギフトメール
14046	Wedding Crashers Event Rewards	結婚式乱入者イベント報酬
14047	Prontera Defense Effort Reward	プロンテラ防衛貢献報酬
14048	War of Emperium Activity Quest	攻城戦アクティビティクエスト
14049	Like Temporary Activity Quests	いいね期間限定アクティビティクエスト
14050	Revive Point Protection Effect	復活ポイント保護効果
14051	Battle of Dragon Coffin Island	ドラゴンコフィン島の戦い
14052	Member Arrivals and Departures	メンバー加入・脱退
14053	Member Joined Adventurer Guild	冒険者ギルドにメンバー加入
14054	Equipment has not been smelted	装備はまだ精錬されていません
14055	Equipment requirements not met	装備条件を満たしていません
14056	^{1}Champion at the Summit^{2}	^{1}頂上の覇者^{2}
14057	5-Player Challenge - Dark Land	5人チャレンジ - ダークランド
14058	The donation period has ended.	寄付期間は終了しました。
14059	Incorrect Username or Password	ユーザー名またはパスワードが正しくありません
14060	Head to the Grand Lecture Hall	大講堂へ向かう
14061	Pick up the Research Notebook.	研究ノートを拾う。
14062	Complete Your First Job Change	初めての転職を完了
14063	Days since server launch: ${1}	サーバー開設から${1}日
14064	No Star Cores in your Backpack	バックパックにスターコアがありません
14065	Stronghold War Auction - Ready	拠点戦オークション - 準備
14066	Stronghold War Auction - Final	拠点戦オークション - 最終
14067	Royal City War Auction - Ready	王都戦オークション - 準備
14068	Royal City War Auction - Final	王都戦オークション - 最終
14069	Guild GvE · Desperate Speedrun	ギルドGvE・決死のタイムアタック
14070	Gloom over Dragoncoffin Island	ドラゴンコフィン島を覆う暗雲
14071	Shoot an arrow to deal damage.	矢を放ってダメージを与える。
14072	Trade Yet to start description	取引未開始時の説明
14073	Beginner Challenge Event Rules	初心者チャレンジイベントルール
14074	Complete event Activity Quests	イベントアクティビティクエストを完了
14075	No rewards available to claim.	受け取れる報酬がありません。
14076	Search results can't be empty.	検索結果を空にはできません。
14077	${1} received ${2} ${3} * ${4}	${1}が${2} ${3} * ${4}を受け取りました
14078	Welcome ${1} to the Group Chat	${1}さん、グループチャットへようこそ
14079	Friends and Guild Members Only	フレンドとギルドメンバーのみ
14080	This party has been disbanded.	このパーティは解散しました。
14081	${1} moved ${2} to Party ${3}.	${1}が${2}をパーティ${3}へ移動しました。
14082	The inviter has left the party	招待者がパーティを退出しました
14083	No longer a Deputy Raid Leader	レイド副リーダーを解任されました
14084	No players available to invite	招待可能なプレイヤーがいません
14085	Daily Activity Point Reward II	デイリーアクティビティポイント報酬II
14086	Stronghold War - Auction Phase	拠点戦 - オークションフェーズ
14087	A bid has already been placed.	すでに入札済みです。
14088	Supply Transport - Trade Phase	物資輸送 - 取引フェーズ
14089	Displayed after bidding begins	入札開始後に表示
14090	Activate ${1} refinement slots	精錬スロットを${1}個有効化
14091	That character does not exist.	そのキャラクターは存在しません。
14092	${1}: Character does not exist	${1}: キャラクターが存在しません
14093	Load 5 or more items to depart	アイテムを5個以上積み込んで出発
14094	Recent Average Trade Price${1}	直近平均取引価格${1}
14095	Guild League - Sub-Battlefield	ギルドリーグ - サブ戦場
14096	Eastern Prontera State Capital	プロンテラ東部州都
14097	Western Prontera State Capital	プロンテラ西部州都
14098	Southern Alberta State Capital	アルベルタ南部州都
14099	Main Combat - Control Immunity	メイン戦闘 - 行動阻害無効
14100	Today's Remaining Reward Count	本日の残り報酬回数
14101	Today's Remaining Claim Count:	本日の残り受取回数:
14102	Requires job type ^{1}${1}^{2}	職業タイプ ^{1}${1}^{2} が必要
14103	Server age requirement not met	サーバー経過日数の条件を満たしていません
14104	Specified area not yet reached	指定エリアにまだ到達していません
14105	Friendship requirement not met	親密度条件を満たしていません
14106	Requires ${1} class level ${2}	${1}のクラスレベル${2}が必要
14107	Not Yet Available (Deprecated)	未公開（廃止予定）
14108	Blocks ranged Physical damage.	遠距離物理ダメージを無効化。
14109	Permanently triggers Charge-Up	チャージアップを常時発動
14110	Shield equal to @{1}% Max Life	最大HPの@{1}%分のシールド
14111	Change Armor to Earth Property	防具属性を地属性に変更
14112	Change Armor to Water Property	防具属性を水属性に変更
14113	Convert Armor to Fire Property	防具属性を火属性に変更
14114	Change Armor to Ghost Property	防具属性を念属性に変更
14115	Convert Armor to Holy Property	防具属性を聖属性に変更
14116	No settings Function available	利用可能な設定機能がありません
14117	Shift+Mouse Right Tap and Drag	Shift+マウス右ボタンを押しながらドラッグ
14118	Orc Hero Normal Attack - Earth	オークヒーロー通常攻撃 - 地属性
14119	Skill@{1}Harp Performance-Easy	スキル@{1}ハープ演奏-イージー
14120	Skill@{1} Kun Water Vortex@{2}	スキル@{1} クン・ウォーターボルテックス@{2}
14121	Skill@{1} Circular Sonic Blast	スキル@{1} 円形ソニックブラスト
14122	Summon Airship Monsters-Normal	飛行船モンスター召喚-ノーマル
14123	Generic Downed Corrosion Skill	汎用ダウン時腐食スキル
14124	Cat o' Nine-Tail Normal Attack	キャットオーナインテイル通常攻撃
14125	Phreeoni Normal Attack-Neutral	フリオニ通常攻撃-無属性
14126	Moonlight Flower Normal Attack	月夜花通常攻撃
14127	Character banned. Unseal time:	キャラクターは利用停止中。解除時刻:
14128	Ringblade Kunai-Add Player Tag	リングブレードクナイ-プレイヤータグ追加
14129	Hornet Assault+Falling Beehive	ホーネットアサルト+落下する蜂の巣
14130	Stone Glyph Slash (Deprecated)	ストーングリフスラッシュ（廃止予定）
14131	Moonlight Flower Bell Incoming	月夜花ベル接近
14132	Launch Stationary Green Bubble	固定グリーンバブルを発射
14133	@{1} Color Tracks @{2} Players	@{1}色の軌跡で@{2}人を追跡
14134	Skill@{1}_Flash Bomb Hell Mode	スキル@{1}_フラッシュボム ヘルモード
14135	Exorciser Spell: Enlightenment	エクソシスト呪文：エンライトメント
14136	S@{1}Camouflage Enhance Dragon	S@{1}カモフラージュ強化ドラゴン
14137	Current Total Deployment Stats	現在の配置ステータス合計
14138	Current Total Collection Stats	現在のコレクションステータス合計
14139	Maximum message length reached	メッセージ文字数が上限です
14140	${1}[Members: ${2}/${3}]\n${4}	${1}[メンバー: ${2}/${3}]\n${4}
14141	No voice input device detected	音声入力デバイスが見つかりません
14142	Guild Voice Channel Invitation	ギルドボイスチャンネル招待
14143	Treasure Hunt Point Locate NPC	宝探しポイント案内NPC
14144	Single-Cluster Crystalline Ore	単結晶鉱石
14145	Double-Cluster Crystalline Ore	二重結晶鉱石
14146	Clue Treasure Map: Odin Statue	手がかり宝の地図：オーディン像
14147	Clue Treasure Map: Marketplace	手がかり宝の地図：市場
14148	Note Pillar@{1}-Mjolnir Garden	ノートピラー@{1}-ミョルニアガーデン
14149	Note Pillar@{1}-Western Morroc	ノートピラー@{1}-西モロック
14150	Vine Puppet Type β - Destroyer	ヴァインパペットβ型 - デストロイヤー
14151	Sand Puppet Type β - Destroyer	サンドパペットβ型 - デストロイヤー
