Index	English	Japanese_Translation
1001	Giearth	ガイアス
1002	Obeaune	オボンヌ
1003	Ladybug	レディバグ
1004	Ant Egg	アントの卵
1005	Whisper	ウィスパー
1006	Deviace	デビアス
1007	Sandman	サンドマン
1008	Driller	ドリラー
1009	Requiem	レクイエム
1010	Argiope	アルギオペ
1011	Raggler	ラグラ
1012	Reversi	リバーシ
1013	Job EXP	Job EXP
1014	MP Cost	消費SP
1015	Stealth	ステルス
1016	Refresh	更新
1017	Trainee	見習い
1018	Regular	一般
1019	Friends	フレンド
1020	Welcome	歓迎
1021	RO Shop	ROショップ
1022	Costume	コスチューム
1023	Removed	解除済み
1024	Fashion	ファッション
1025	Enhance	強化
1026	Current	現在
1027	Premium	プレミアム
1028	Default	デフォルト
1029	Warrior	戦士
1030	Profile	プロフィール
1031	Message	メッセージ
1032	Trophy:	トロフィー:
1033	Special	特別
1034	Replace	入替
1035	Bouquet	花束
1036	Element	属性
1037	Restart	再起動
1038	Abandon	放棄
1039	Connect	接続
1040	Success	成功
1041	Reforge	再鋳造
1042	Auction	オークション
1043	Dungeon	ダンジョン
1044	Academy	アカデミー
1045	Discord	Discord
1046	Ranking	ランキング
1047	Unstuck	脱出
1048	Enchant	エンチャント
1049	Details	詳細
1050	Recruit	募集
1051	Combine	合成
1052	Monster	モンスター
1053	Paladin	パラディン
1054	Warlock	ウォーロック
1055	Acolyte	アコライト
1056	Lowest:	最低:
1057	Expired	期限切れ
1058	Assists	アシスト
1059	Spawned	出現中
1060	Add All	一括追加
1061	Pass II	パス II
1062	Defense	防御
1063	Applied	適用済み
1064	Request	申請
1065	Offline	オフライン
1066	My Raid	マイレイド
1067	War Map	戦場マップ
1068	Changed	変更済み
1069	Plunder	略奪
1070	No.${1}	No.${1}
1071	Players	プレイヤー
1072	Bonuses	ボーナス
1073	Impeach	弾劾
1074	No data	データなし
1075	Invited	招待済み
1076	Officer	役職者
1077	Respond	応答
1078	Culvert	地下水路
1079	Pharaoh	ファラオ
1080	Gryphon	グリフォン
1081	Neutral	無属性
1082	Passive	パッシブ
1083	Upgrade	アップグレード
1084	Angelus	アンジェラス
1085	Respawn	リスポーン
1086	Vending	露店
1087	Enlarge	拡大
1088	Envenom	インベナム
1089	Nearest	最寄り
1090	Privacy	プライバシー
1091	General	一般
1092	Forward	転送
1093	Account	アカウント
1094	Log Out	ログアウト
1095	Effects	エフェクト
1096	PC Mode	PCモード
1097	Opacity	不透明度
1098	Berserk	バーサーク
1099	Piccolo	ピッコロ
1100	Logging	伐採
1101	Provoke	プロボック
1102	Caramel	キャラメル
1103	Stainer	ステイナー
1104	Noxious	ノークサス
1105	Victory	勝利
1106	Loading	読み込み中
1107	Crowded	混雑
1108	Network	ネットワーク
1109	Boss Up	ボス出現
1110	Missile	ミサイル
1111	Opening	開催中
1112	Preview	プレビュー
1113	No gear	装備なし
1114	Compare	比較
1115	Advance	進級
1116	Markers	マーク
1117	Pyramid	ピラミッドダンジョン
1118	Points:	ポイント:
1119	Block ≤	ガード ≤
1120	Channel	チャンネル
1121	Lillian	リリアン
1122	Bonfire	焚火
1123	Dracula	ドラキュラ
1124	Almagia	アルマギア
1125	Outpost	前哨基地
1126	Chimera	キメラ
1127	Raydric	レイドリック
1128	Captain	隊長
1129	Anolian	アノリアン
1130	Eclipse	エクリプス
1131	Vagrant	放浪者
1132	Butcher	ブッチャー
1133	Sifaris	シファリス
1134	Soldier	兵士
1135	Ibrahim	イブラヒム
1136	Seultae	ソルテ
1137	Leavren	レヴレン
1138	Old Man	老人
1139	Deok-gu	トック
1140	Antonio	アントニオ
1141	Phoenix	フェニックス
1142	Ah-Jiao	アージャオ
1143	Tourist	観光客
1144	Student	学生
1145	Grandpa	おじいさん
1146	Grandma	おばあさん
1147	or ${1}	または ${1}
1148	Sprazzi	スプラッツィ
1149	Alberta	アルベルタ
1150	Library	図書館
1151	Schmidt	シュミッツ
1152	William	ウィリアム
1153	Cleaver	クリーバー
1154	Wildcat	ワイルドキャット
1155	Genesis	ジェネシス
1156	Himomes	ヒモメス
1157	Foxball	フォックスボール
1158	Dr. Owl	フクロウ博士
1159	Beehive	蜂の巣
1160	Diamond	ダイヤ
1161	Extreme	極限
1162	Balance	バランス
1163	Claimed	受取済み
1164	Appoint	任命
1165	Invitee	被招待者
1166	Oak Inn	オークの宿屋
1167	Rank Up	ランクアップ
1168	Search:	検索:
1169	Receive	受取
1170	Faction	陣営
1171	Initial	初期
1172	Nothing	なし
1173	Not Yet	未完了
1174	Awooo~~	ワオーン～～
1175	No good	ダメだ
1176	Goodbye	さようなら
1177	Enraged	激怒
1178	Decline	辞退
1179	Help Me	助けて
1180	Stunned	スタン
1181	Wailing	嘆き
1182	Wronged	冤罪
1183	So Weak	弱すぎる
1184	Rarity:	レアリティ:
1185	[g@{1}]	[g@{1}]
1186	（${1}s）	（${1}秒）
1187	Limited	期間限定
1188	Elite V	エリート V
1189	Elite I	エリート I
1190	Morale:	士気:
1191	Matchup	対戦表
1192	Sign Up	エントリー
1193	Round 2	第2回戦
1194	Round 3	第3回戦
1195	Clothes	衣装
1196	Muffler	マフラー
1197	Cooking	料理
1198	Utility	便利機能
1199	Mention	メンション
1200	Produce	製造
1201	Overall	全体
1202	【Burst】	【バースト】
1203	Pick up	拾う
1204	Release	解放
1205	Contact	連絡先
1206	Ice Fog	アイスフォグ
1207	Command	コマンド
1208	All Day	終日
1209	Ⅱ+-@{1}	Ⅱ+-@{1}
1210	Flasher	フラッシャー
1211	Archers	アーチャー系
1212	Thieves	シーフ系
1213	Silence	沈黙
1214	Petrify	石化
1215	Stagger	硬直
1216	Harvest	収穫
1217	Gungnir	グングニル
1218	Scratch	ひっかき
1219	Resolve	決意
1220	Alcohol	アルコール
1221	Feather	羽毛
1222	Pet Egg	ペットの卵
1223	Emerald	エメラルド
1224	Kyanite	カイヤナイト
1225	Jellopy	ゼロピー
1226	Elunium	エルニウム
1227	Panacea	万能薬
1228	Greaves	グリーブ
1229	Sandals	サンダル
1230	Buckler	バックラー
1231	Stunner	スタナー
1232	Halberd	ハルバード
1233	Gladius	グラディウス
1234	Reserve	予約
1235	Max DPS	最大DPS
1236	Bidding	入札中
1237	Call Up	召集
1238	Rampage	暴走
1239	Habitat	生息地
1240	Lv.1-20	Lv.1-20
1241	Shrined	奉納済み
1242	Average	平均
1243	HP Lock	HPロック
1244	Fortify	補強
1245	Manhunt	指名手配
1246	New Tab	新しいタブ
1247	(${1}s)	(${1}秒)
1248	Singing	歌唱中
1249	LV.${1}	LV.${1}
1250	Queuing	マッチング中
1251	Destroy	破壊
1252	Tactics	作戦
1253	Attack!	攻撃！
1254	Marking	マーキング
1255	Server:	サーバー:
1256	Reapply	再申請
1257	Stylist	スタイリスト
1258	Mei Mei	メイメイ
1259	Discard	破棄
1260	Advisor	顧問
1261	Hitstun	被弾硬直
1262	Lottery	抽選
1263	Pending	保留中
1264	Fatigue	疲労度
1265	HP Buff	HPバフ
1266	Demount	騎乗解除
1267	Luoyang	洛陽
1268	Gonryun	コンロン
1269	Answer:	回答:
1270	Resting	休憩中
1271	[Event]	[イベント]
1272	Meditate	メディタティオ
1273	Backpack	バックパック
1274	Thursday	木曜日
1275	Saturday	土曜日
1276	In ${1}d	${1}日後
1277	In ${1}h	${1}時間後
1278	In ${1}m	${1}分後
1279	In ${1}s	${1}秒後
1280	Complete	完了
1281	Army Cap	アーミーキャップ
1282	Fox Mask	キツネの仮面
1283	Baby Kun	ベイビーくん
1284	High Orc	ハイオーク
1285	Angeling	エンジェリング
1286	Piamette	ピアメット
1287	Dullahan	デュラハン
1288	Succubus	サキュバス
1289	UTC+${1}	UTC+${1}
1290	Mobility	機動力
1291	Survival	生存力
1292	Crusader	クルセイダー
1293	Chonchon	チョンチョン
1294	Familiar	ファミリアー
1295	Scorpion	スコーピオン
1296	Poporing	ポポリン
1297	Magnolia	マグノリア
1298	Minorous	ミノタウロス
