Index	English	Japanese_Translation
8001	Death Supply Crate	死亡時補給箱
8002	Evil Eye Messenger	邪眼の使者
8003	Large Thundercloud	巨大な雷雲
8004	Double-Sharp Giant	ダブルシャープ・ジャイアント
8005	Lava Puppet Type α	溶岩パペット・タイプα
8006	Lava Puppet Type β	溶岩パペット・タイプβ
8007	Lava Puppet Type γ	溶岩パペット・タイプγ
8008	Lightweight Timber	軽量木材
8009	Good-Natured Yawei	お人好しのヤウェイ
8010	Training Dummy@{1}	トレーニングダミー@{1}
8011	Enemy Player Dummy	敵プレイヤーダミー
8012	Easy Dungeon Dummy	簡単ダンジョン用ダミー
8013	Hard Dungeon Dummy	高難度ダンジョン用ダミー
8014	Test Dragon Knight	テスト用ドラゴンナイト
8015	Elite Orc Skeleton	エリートオークスケルトン
8016	Traveler from Afar	遠方からの旅人
8017	Novice Guildmaster	ノービスギルドマスター
8018	Pure-Hearted Woman	純真な女性
8019	Prontera East Gate	プロンテラ東門
8020	Pyramid Floor @{1}	ピラミッド @{1}F
8021	Territory War - 20	領地戦 - 20
8022	Territory War - 21	領地戦 - 21
8023	Territory War - 24	領地戦 - 24
8024	Territory War - 26	領地戦 - 26
8025	Territory War - 27	領地戦 - 27
8026	Territory War - 28	領地戦 - 28
8027	Territory War - 32	領地戦 - 32
8028	Territory War - 33	領地戦 - 33
8029	Territory War - 34	領地戦 - 34
8030	Territory War - 35	領地戦 - 35
8031	Territory War - 36	領地戦 - 36
8032	Follower of Ilmata	イルマタの信奉者
8033	Magic Circle_Empty	魔法陣_空
8034	Consecrated Domain	聖域
8035	Collect Green Note	緑の音符を集める
8036	Enhance Blast Mine	ブラストマイン強化
8037	Mistress-Very Hard	ミストレス-ベリーハード
8038	Mistress-Nightmare	ミストレス-ナイトメア
8039	Baphomet-Very Hard	バフォメット-ベリーハード
8040	Baphomet-Nightmare	バフォメット-ナイトメア
8041	Recommended Power:	推奨戦力：
8042	Slightly Difficult	やや難しい
8043	Current Floor Info	現在の階層情報
8044	Return to Town Now	今すぐ街へ戻る
8045	Loads of Materials	大量の素材
8046	Adventure Duration	冒険時間
8047	Not enough chests.	宝箱が足りません。
8048	Field Battle Rules	フィールドバトルルール
8049	Monster Collection	モンスターコレクション
8050	All Stages Cleared	全ステージクリア
8051	Chief Class Mentor	上位職教官
8052	Listed: ${1}/ ${2}	出品数：${1}/ ${2}
8053	Unlocks at lv.${1}	Lv.${1}で解放
8054	No items sold yet.	まだ出品されたアイテムはありません。
8055	Limited-Time Event	期間限定イベント
8056	Kill the Protector	守護者を倒す
8057	Challenge Angeling	エンジェリングに挑戦
8058	Challenge Mistress	ミストレスに挑戦
8059	Draw Chance: ${1}%	抽選確率：${1}%
8060	Vehicle Privileges	乗り物権限
8061	Total Contribution	総貢献度
8062	Cancel Application	申請を取り消す
8063	Guild Contribution	ギルド貢献度
8064	Join Requirements:	加入条件：
8065	Regular Activities	定例活動
8066	Revoke Appointment	任命を解除
8067	Cards - Collection	カード - コレクション
8068	Report the Results	結果を報告
8069	Report the Outcome	結果を報告
8070	Continue the Trial	試練を続ける
8071	Onward to Prontera	プロンテラへ向かう
8072	Sprakki's Guidance	スプラッキの案内
8073	Prediction Results	予測結果
8074	Take a Short Break	少し休む
8075	Nail of Discipline	規律の釘
8076	Dejected Young Man	落ち込んだ青年
8077	Meet Up with Allen	アレンと合流
8078	Attend the Banquet	宴会に参加
8079	Strange Pheromones	奇妙なフェロモン
8080	The Provoke Letter	挑発の手紙
8081	Stronger Equipment	より強い装備
8082	Attribute Training	ステータス訓練
8083	The Strange Hunter	奇妙なハンター
8084	A Dangerous Battle	危険な戦い
8085	Final Preparations	最後の準備
8086	Toward the Ant Den	アリの巣へ
8087	Assist cap reached	支援上限に達しました
8088	Prize Pool Preview	報酬プールプレビュー
8089	Daily Hatch Limit:	1日の孵化上限：
8090	After Star Upgrade	ランクアップ後
8091	No incubation time	孵化時間なし
8092	Unlocked ${1}/${2}	解放済み ${1}/${2}
8093	Total Assist Stats	支援ステータス合計
8094	Hatching Expertise	孵化熟練度
8095	Weaver (Deprecated	ウィーバー（廃止予定
8096	Tap the Use button	「使用」ボタンをタップ
8097	Tap the Hatch tab.	「孵化」タブをタップ。
8098	Choose your armor!	防具を選ぼう！
8099	Tap here to close!	ここをタップして閉じる！
8100	The desolate trail	荒れ果てた道
8101	Introduce Yourself	自己紹介する
8102	Rrrr... Hrrrnnn...	グルル…ウゥゥ…
8103	Achieved perfectly	完全達成
8104	Growth Class Title	成長クラス称号
8105	What's the upside?	どんな利点がある？
8106	(Flips coin) Rest.	（コインを投げる）休憩。
8107	Use Area Detection	エリア検知を使用
8108	W-What's going on?	な、何が起きてるの？
8109	Bobo is my friend.	ボボは僕の友達だ。
8110	Fire/Reload/Repair	射撃/リロード/修理
8111	Kill Young Dragons	幼竜を倒す
8112	Difficulty Warning	難易度警告
8113	Search for the Key	鍵を探す
8114	Primary Profession	メイン職業
8115	Required Materials	必要素材
8116	${1} Level Reached	${1}レベル到達
8117	Materials Obtained	獲得素材
8118	Setting successful	設定しました
8119	Left the Safe Zone	セーフゾーンを離れました
8120	Dance to the beat!	ビートに合わせて踊ろう！
8121	Wind's Departure I	風の旅立ち I
8122	Wind's Departure V	風の旅立ち V
8123	Cloud's Splendor I	雲の輝き I
8124	Cloud's Splendor V	雲の輝き V
8125	On a killing spree	連続キル中
8126	Unexpected Reward!	思いがけない報酬！
8127	Bobo\nAh! Save us—	ボボ\nあっ！助けて—
8128	Begin Your Journey	旅を始めよう
8129	Pick up the goods.	荷物を拾う。
8130	Take Out the part.	部品を取り出す。
8131	Grind and Level-up	狩ってレベルアップ
8132	Default Background	デフォルト背景
8133	Expected Dividends	予想配当
8134	Maximum Unit Price	最高単価
8135	Legendary Survivor	伝説の生存者
8136	Semifinal Matchups	準決勝組み合わせ
8137	Transport the Flag	旗を運ぶ
8138	Battleground Stats	戦場ステータス
8139	Absolute Advantage	絶対的優位
8140	Highest Win Streak	最高連勝数
8141	Net Victory Points	勝利ポイント差
8142	Voice Message Item	ボイスメッセージアイテム
8143	Crafting Blueprint	製作設計図
8144	Astral Sign Rating	星座評価
8145	Mt. Mjolnir Region	ミョルニール山脈地域
8146	Crit DMG Reduction	クリティカルダメージ軽減
8147	Crafting Materials	製作素材
8148	Introvert-Friendly	人見知り歓迎
8149	Let's Run Dungeons	ダンジョンへ行こう
8150	High Damage Output	高火力
8151	High Crowd Control	高い行動妨害性能
8152	Mage Normal Attack	マジシャン通常攻撃
8153	High-Speed Driving	高速運転
8154	Deadly Flame Blade	デッドリーフレイムブレード
8155	Discard Cannonball	砲弾を投棄
8156	Dynamite Explosion	ダイナマイト爆発
8157	Blazing Tiger Roar	ブレイジングタイガーロア
8158	Wavebreaker Strike	ウェーブブレイカーストライク
8159	Cannonball Barrage	降り注ぐ砲弾
8160	[Guild Invitation]	[ギルド招待]
8161	Healing per Second	秒間回復量
8162	Battle Record ${1}	戦績 ${1}
8163	Arm Cannon Enhance	アームキャノン強化
8164	New Season Preview	新シーズンプレビュー
8165	Display Resolution	画面解像度
8166	Ironwood Ring Mold	アイアンウッドリング型
8167	Spirit Scale Stalk	スピリットスケイルの茎
8168	Coarse Cotton Roll	粗綿ロール
8169	Silk Garment Blank	シルク衣装素材
8170	Newly Listed Items	新着出品
8171	^{1}[Conquest]^{2}	^{1}[征服]^{2}
8172	^{1}[Instance]^{2}	^{1}[インスタンス]^{2}
8173	A Possible Witness	目撃者候補
8174	Strange Occurences	奇妙な出来事
8175	Cargo Pickup Point	荷物受取地点
8176	Skill Use Disabled	スキル使用不可
8177	Knockback Immunity	ノックバック無効
8178	Oak's Power - Blue	オークの力 - 青
8179	Mysterious Arrival	謎の来訪
8180	Party Preparations	パーティ準備
8181	Spirit Silk Flower	スピリットシルクフラワー
8182	Sacred Armor Plate	聖なる防具プレート
8183	PATCH_AUDIO_BUTTON	パッチ音声ボタン
8184	PATCH_RESTART_TIPS	パッチ再起動案内
8185	Request successful	申請しました
8186	Cost-Free Crafting	無料製作
8187	Emergency Recovery	緊急回復
8188	Goddess's Movement	女神の移動
8189	Available Branches	選択可能な分岐
8190	Invalid Pet Preset	無効なペットプリセット
8191	Sentinel of Spikes	棘の番人
8192	Fountain of Wisdom	知恵の泉
8193	Sun-Devouring Wolf	太陽を喰らう狼
8194	Divine Goat's Milk	聖なるヤギの乳
8195	Eight-Legged Steed	八本脚の軍馬
8196	Low-Tier First Aid	初級応急処置
8197	Low-Tier Execution	初級エグゼキューション
8198	Low-Tier Terminate	初級ターミネート
8199	Pet Shard: Watcher	ペットの欠片：ウォッチャー
8200	Starshatter Dragon	スターシャッタードラゴン
8201	Trading Card Album	トレーディングカードアルバム
8202	Echo Material Pack	エコー素材パック
8203	Creamy Tomato Soup	クリーミートマトスープ
8204	Holy Spirit Potion	ホーリースピリットポーション
8205	${1} sent you ${2}	${1}から${2}が届きました
8206	Swordsman Portrait	ソードマンの肖像
8207	Job Advance Weapon	転職用武器
8208	Fluorescent Liquid	蛍光液
8209	Transparent Fabric	透明な布
8210	@{1}-Carat Diamond	@{1}カラットダイヤモンド
8211	Philosopher's Core	賢者の核
8212	Raven Tail Feather	ワタリガラスの尾羽
8213	Spirit Tower S@{1}	精霊の塔 S@{1}
8214	Epic Card Fragment	エピックカードの欠片
8215	Starlight Silk VII	スターライトシルク VII
8216	Starlight Silk III	スターライトシルク III
8217	Blessed Weapon Ore	祝福された武器鉱石
8218	Dazzling Fireworks	きらめく花火
8219	Christmas Stocking	クリスマスストッキング
8220	Lv. @{1} @{2} Wand	Lv. @{1} @{2} ワンド
8221	Lv. @{1} @{2} Mace	Lv. @{1} @{2} メイス
8222	Intermediate Katar	中級カタル
8223	Basic Knight Spear	基本ナイトスピア
8224	Archangel's Shield	アークエンジェルシールド
8225	Novice Iron Shield	ノービスアイアンシールド
8226	Novice Katar Blade	ノービスカタルブレード
8227	Mithril Longhammer	ミスリルロングハンマー
8228	Earth Spirit Spear	アーススピリットスピア
8229	Novice Main Gauche	ノービスマインゴーシュ
8230	Dream-Eating Flute	夢喰いの笛
8231	Not enough friends	フレンドが足りません
8232	Region @{1} Points	地域 @{1} ポイント
8233	Card: Orc Skeleton	カード：オークスケルトン
8234	Shadow Card: Hydra	シャドウカード：ヒドラ
8235	Card: Poison Spore	カード：ポイズンスポア
8236	Equipment Forging:	装備製造：
8237	Guild League Elite	ギルドリーグ・エリート
8238	Class Item Details	職業アイテム詳細
8239	Soul Echo Overview	ソウルエコー概要
8240	Competition Screen	競技画面
8241	Kafra Shop Details	カプラショップ詳細
8242	Spirit Tower Rules	精霊の塔ルール
8243	Victory Conditions	勝利条件
8244	Objective Complete	目標達成
8245	Matchmaking Notice	マッチングのお知らせ
8246	Variable Gathering	可変採集ポイント
8247	Request from Guild	ギルドからの依頼
8248	Speedrun Challenge	タイムアタック挑戦
8249	Survival Challenge	サバイバル挑戦
8250	Great Whale's Aria	大鯨のアリア
8251	Snowy Night Melody	雪夜の旋律
8252	Realm Sandbox-@{1}	領域サンドボックス-@{1}
8253	Spear Auto Counter	スピアオートカウンター
8254	Damage Taken Score	被ダメージスコア
8255	Healing Over @{1}M	回復量 @{1}M以上
8256	Healing Over @{1}K	回復量 @{1}K以上
8257	Top Siege Attacker	攻城戦トップアタッカー
8258	Pierce the Heavens	天を貫く
8259	Over @{1}m Healing	回復量 @{1}m以上
8260	Over @{1}k Healing	回復量 @{1}k以上
8261	Apocalypse Revival	アポカリプスリバイバル
8262	Holy Light Revival	ホーリーライトリバイバル
8263	Eight-Kill War God	八連殺の軍神
8264	Top Capture Points	占領ポイント首位
8265	Primary Attributes	主要ステータス
8266	Midterm Settlement	中間集計
8267	Survivor's Muffler	サバイバーズマフラー
8268	Evil Spirit Threat	悪霊の脅威
8269	High Survivability	高い生存力
8270	Stigma Charge Buff	スティグマチャージバフ
8271	Cart Reinforcement	カート強化
8272	Anaerobic Training	無酸素トレーニング
8273	High-Energy Shield	高エネルギーシールド
8274	Devotion Self-Link	ディボーション自己リンク
8275	Earth Drive Debuff	アースドライブデバフ
8276	King's Grace Orbit	キングスグレイス範囲
8277	Fixed Skill Damage	固定スキルダメージ
8278	Escort Cart Endure	護送カートのインデュア
8279	Respawn Protection	リスポーン保護
8280	Adds a Lope button	跳躍ボタンを追加
8281	Windowed ${1}*${2}	ウィンドウ ${1}*${2}
8282	Right-Click to Use	右クリックで使用
8283	Quest Display Area	クエスト表示エリア
8284	White Imprison SFX	ホワイトインプリズンSFX
8285	Heaven's Drive SFX	ヘヴンズドライブSFX
8286	MATK Increase @{1}	MATK増加 @{1}
8287	Marionette Passive	マリオネットパッシブ
8288	Marionette's Curse	マリオネットの呪い
8289	Petrification Gaze	石化の視線
8290	Alice's Protection	アリスの加護
8291	A Maid's Etiquette	メイドのたしなみ
8292	Detection Distance	検知距離
8293	Party-Wide Stealth	パーティ全体ステルス
8294	Remove Skill Check	スキルチェック解除
8295	Lock Life at @{1}%	HPを@{1}%で固定
8296	Switch Blood Cross	ブラッドクロス切替
8297	Switch Earth Drive	アースドライブ切替
8298	Switch Psychic Orb	サイキックオーブ切替
8299	Speed Boost Charge	スピードブーストチャージ
8300	Trap Hunter Charge	トラップハンターチャージ
8301	Sonic Acceleration	ソニックアクセラレーション
8302	Black Phantom Slow	ブラックファントム鈍足
8303	Shadow Loop Status	シャドウループ状態
8304	Transfer Ownership	所有権を譲渡
8305	Suspected Gambling	賭博疑惑
8306	^{1}[Gameplay]^{2}	^{1}[ゲームプレイ]^{2}
8307	Ranking user error	ランキングユーザーエラー
8308	Reward Vault Rules	報酬保管庫ルール
8309	Monthly Pass Rules	月間パスルール
8310	Monster Hunt Rules	モンスターハントルール
8311	Auto-Bidding Rules	自動入札ルール
8312	Total Lineup Stats	編成ステータス合計
8313	Siege Weapon Guide	攻城兵器ガイド
8314	Battleground Rules	戦場ルール
8315	Refinement Details	精錬詳細
8316	Trusted Confidants	信頼できる腹心
8317	A Noble Friendship	気高き友情
8318	Duplicate Mount ID	マウントIDが重複しています
8319	Job does not exist	職業が存在しません
