Index	English	Japanese_Translation
13001	Recipe Type and Description	レシピ種類と説明
13002	Armakia is nearly exhausted	アルマキアはもう限界だ
13003	Reach Floor @{1} with a pet	ペットを連れて@{1}階に到達
13004	Melody of the God of Nature	自然神の旋律
13005	Yikes! I can't handle this!	うわっ！もう無理！
13006	“First time on an airship?”	「飛行船は初めて？」
13007	BOSS First Strike achieved.	BOSS先制攻撃達成。
13008	^{1}The Guard has appeared!	^{1}衛兵が現れた！
13009	${1} appointed you as ${2}.	${1}があなたを${2}に任命しました。
13010	${1} made ${2}'s head huge.	${1}が${2}の頭を巨大化させました。
13011	You've got to be kidding...	冗談でしょ…
13012	Bobo\nFervor stopped again.	ボボ\nファーヴァーがまた止まった。
13013	Conquer the Munak Cave Area	ムナック洞窟エリアを制覇
13014	You do not have permission.	権限がありません。
13015	Flag Delivered Successfully	旗の運搬に成功しました
13016	DMG Reduction vs Demi-Human	人間形へのダメージ軽減
13017	Teamfight Initiation Damage	集団戦開始時ダメージ
13018	Holy Reckoning (Deprecated)	ホーリーレコニング（廃止予定）
13019	Myriad Stars Chase the Moon	万星が月を追う
13020	Gravitational Impact (Copy)	グラビテーショナルインパクト（コピー）
13021	Memory Game-Circular Damage	メモリーゲーム・円形ダメージ
13022	Silverwing Covenant - Order	シルバーウィングの盟約・秩序
13023	Silverwing Covenant - Truth	シルバーウィングの盟約・真実
13024	Enjoy Life: Second Activity	生活を楽しむ：2回目のアクティビティ
13025	Clear a Five-Player Dungeon	5人ダンジョンをクリア
13026	The Mysterious Investigator	謎の調査員
13027	A Letter from the Professor	教授からの手紙
13028	Defeat MVP Eddga in a party	パーティでMVPエドガを倒す
13029	Defeat MVP Drake in a party	パーティでMVPドレイクを倒す
13030	Failed to remove Soul Echo.	ソウルエコーの解除に失敗しました。
13031	Magic-Breaking Power - Blue	魔法破りの力 - 青
13032	Siegebreaker's Power - Blue	攻城破りの力 - 青
13033	Magic-Warding Power - Green	魔法防護の力 - 緑
13034	Azure · Realm-Warding Power	蒼・領域防護の力
13035	Power of the Mountains-Blue	山岳の力 - 青
13036	PATCH_DISABLE_SO_FILES_TIPS	PATCH_DISABLE_SO_FILES_TIPS
13037	LOAD_REMOTE_CONFIG_MAIN_MSG	LOAD_REMOTE_CONFIG_MAIN_MSG
13038	Advanced Gathering - Mining	上級採集 - 採掘
13039	Item used to Learn a skill.	スキル習得に使用するアイテム。
13040	A small bead made of glass.	小さなガラス玉。
13041	Used to unlock Muka Emotes.	ムカのエモート解放に使用。
13042	An axe with enhanced power.	威力を強化した斧。
13043	A massive two-handed sword.	巨大な両手剣。
13044	The Rustle of Turning Pages	ページをめくる音
13045	Low-Tier Neutral Resistance	初級無属性耐性
13046	Low-Tier Last Stand Defense	初級ラストスタンド防御
13047	Low-Tier Continuous Healing	初級継続回復
13048	Pet Shard: Moonlight Flower	ペットの欠片：月夜花
13049	T@{1} Red Top Selection Box	T@{1} 赤トップ選択ボックス
13050	Purple Card Selection Chest	紫カード選択チェスト
13051	Strawberry Cocoa Crunch Bar	ストロベリーココアクランチバー
13052	Legendary Weapon Ore-Expire	伝説の武器鉱石-期限切れ
13053	Advanced Chest (Deprecated)	上級チェスト（廃止予定）
13054	Equipment Forging Blueprint	装備製造設計図
13055	Divine Art Totem Skill Book	神術トーテムスキルブック
13056	Tier @{1} Blueprint - Shoes	Tier @{1} 設計図 - 靴
13057	Tier @{1} Blueprint - Armor	Tier @{1} 設計図 - 防具
13058	Proof of the Hunt · Pursuer	狩りの証・追跡者
13059	Guild Emblem - Small Flower	ギルドエンブレム - 小花
13060	Intermediate Ignition Agent	中級点火剤
13061	Waterdrop Star Core - Green	ウォータードロップスターコア - 緑
13062	Oak Scroll · Accessory-Blue	オークスクロール・アクセサリー-青
13063	Bulwark Scroll · Shoes-Blue	ブルワークスクロール・靴-青
13064	Bulwark Scroll·Cloak-Purple	ブルワークスクロール・マント-紫
13065	Life Percentage·Cloak-Green	HP割合・マント-緑
13066	Hawkeye Scroll·Armor-Orange	ホークアイスクロール・防具-オレンジ
13067	Hawkeye Scroll·Armor-Purple	ホークアイスクロール・防具-紫
13068	Life Percentage·Armor-Green	HP割合・防具-緑
13069	Mountain Scroll·Armor-Green	マウンテンスクロール・防具-緑
13070	Fate Scroll·Off-Hand-Orange	フェイトスクロール・サブ装備-オレンジ
13071	Ymir Scroll·Off-Hand-Orange	ユミルスクロール・サブ装備-オレンジ
