Index	English	Japanese_Translation
20001	Insufficient cargo loaded. Unable to dispatch the ship.	積載貨物が不足しているため、船を派遣できません。
20002	The other player has already received a friend request.	相手にはすでにフレンド申請が届いています。
20003	You're right. Let's decide what gift to give her first.	そうだね。まずは彼女に何を贈るか決めよう。
20004	Max support applications: <color=${3}>${1}</color>/${2}	支援申請上限：<color=${3}>${1}</color>/${2}
20005	You successfully aided ${1}${2} using the Revive Altar.	復活の祭壇を使って${1}${2}の支援に成功しました。
20006	Healing on targets below @{1}% Life increased by @{2}%.	HPが@{1}%未満の対象への回復量が@{2}%増加。
20007	When 【Slashing Strike】 hits a target, gain @{1}% Haste.	【スラッシングストライク】命中時、ヘイストを@{1}%獲得。
20008	Duration of control Protector skills +^{1}${1}^{2} sec.	行動妨害保護スキルの持続時間 +^{1}${1}^{2}秒。
20009	Replace Personal Build ${1} with the recommended build?	個人ビルド${1}をおすすめビルドに置き換えますか？
20010	Increases Physical DEF by ${1}% and Magic DEF by ${2}%.	物理DEFが${1}%、魔法DEFが${2}%増加。
20011	Determines whether the BOSS is at the center of the map	BOSSがマップ中央にいるかを判定
20012	You haven't finished today's journey. End the day early?	今日の旅をまだ終えていません。早めに一日を終了しますか？
20013	Every journey has an end, but yours has only just begun.	どんな旅にも終わりはある。でも君の旅は、まだ始まったばかりだ。
20014	^{1}Escape to the finish line as quickly as possible^{2}	^{1}できるだけ早くゴールまで逃げ切れ^{2}
20015	[Reserved] Spend a total of @{1} minutes in field combat	[予約] フィールド戦闘を合計@{1}分行う
20016	Follow the Pathfinder Ant to a mysterious cave entrance.	パスファインダーアントを追って謎の洞窟入口へ向かう。
20017	Head to Payon and search for signs of Mushroom monsters.	フェイヨンへ向かい、キノコ系モンスターの痕跡を探す。
20018	Defeated, Jack fled as fast as his legs could carry him.	敗れたジャックは一目散に逃げていった。
20019	Participate in the Guild Gloom over Longguo Island event	ギルドイベント「龍国島を覆う暗雲」に参加
20020	Read the notes for a Clue to the professor's whereabouts	教授の行方の手がかりを得るためメモを読む
20021	You have selected ${1} cards and cannot select any more.	カードを${1}枚選択済みのため、これ以上選択できません。
