Index	English	Japanese_Translation
10001	Woof! Woof woof woof!	ワン！ワンワンワン！
10002	Wait! I'm coming too!	待って！私も行く！
10003	Current Battle Report	現在の戦闘レポート
10004	Players in Inner Area	内側エリアのプレイヤー
10005	Better Luck Next Time	次はきっとうまくいくよ
10006	Enable Auto-Dismantle	自動分解を有効化
10007	^{1}Capture the Flag!	^{1}旗を奪え！
10008	Entered the Safe Zone	セーフゾーンに入りました
10009	Help me... Help me...	助けて…助けて…
10010	Can your eyes see me?	私の姿が見える？
10011	Emblem Reward Preview	エンブレム報酬プレビュー
10012	Monster-Grinding Path	モンスター狩りルート
10013	Classic PC Experience	クラシックPC操作
10014	Reset Skill Cooldowns	スキルクールダウンをリセット
10015	Fashion Sense Rewards	ファッションセンス報酬
10016	Moonlit Challenger IV	月夜の挑戦者 IV
10017	Moonlit Challenger II	月夜の挑戦者 II
10018	Battle Report Details	戦闘レポート詳細
10019	Point Rules Help Text	ポイントルール説明
10020	Upper Losers' Bracket	敗者復活戦・上段
10021	Lower Losers' Bracket	敗者復活戦・下段
10022	This match has ended.	この試合は終了しました。
10023	Personal Contribution	個人貢献度
10024	DMG Bonus vs All Race	全種族へのダメージボーナス
10025	DMG Bonus vs All Size	全サイズへのダメージボーナス
10026	Kun Dungeon Challenge	クンダンジョン挑戦
10027	Expansion Jutsu Check	拡張術チェック
10028	Escort Cart Explosion	護送カート爆発
10029	Soul Expansion (Copy)	ソウルエクスパンション（コピー）
10030	Raging Wave Cataclysm	怒涛の大波
10031	Young Dragon Fireball	幼竜のファイアボール
10032	Switch to Fire Turret	火炎砲台に切り替え
10033	Empowered Warg Strike	強化ウォーグストライク
10034	Night Judgment - Mask	夜の審判 - マスク
10035	Mid-Season Settlement	シーズン中間精算
10036	Sacred Footwear Blank	聖なる靴素材
10037	Ultra Suggested Items	超おすすめアイテム
10038	^{1}[Job Advance]^{2}	^{1}[転職]^{2}
10039	Rent a Madogear Pilot	マドギアパイロットをレンタル
10040	An Assistant's Duties	助手の務め
10041	An Unusual Preference	変わった好み
10042	The Puzzled Professor	困惑する教授
10043	The Captain's Concern	船長の心配事
10044	Clear Out the Insects	虫を駆除する
10045	Help defeat @{1} MVPs	MVPを@{1}体倒すのを手伝う
10046	Spirit Tower Rankings	精霊の塔ランキング
10047	Transform into a Wave	波に変身する
10048	Item Healing Disabled	アイテム回復無効
10049	Arcane Power - Orange	神秘の力 - オレンジ
10050	Arcane Power - Purple	神秘の力 - パープル
10051	Ymir's Power - Orange	ユミルの力 - オレンジ
10052	Ymir's Power - Purple	ユミルの力 - パープル
10053	Giant's Strength-Blue	巨人の力 - ブルー
10054	Power of Fate - Green	運命の力 - グリーン
10055	Eagle Eye Power-Green	鷹の目の力 - グリーン
10056	PATCH_ANALYZING_FILES	パッチファイル解析中
10057	PATCH_PROGRESS_FORMAT	パッチ進行状況
10058	Beautiful silver fur.	美しい銀色の毛皮。
10059	Goddess's Overture II	女神の序曲 II
10060	Goddess's Overture IV	女神の序曲 IV
10061	Suggested Build: ${1}	おすすめビルド：${1}
10062	The Bustle by the Bar	酒場のにぎわい
10063	Flames of Inquisition	審問の炎
10064	Combine is successful	合成に成功しました
10065	Appraise ${1} Item(s)	${1}個のアイテムを鑑定
10066	Healing Amplification	回復増幅
10067	Minor Holy Resistance	聖属性耐性・小
10068	Minor Fire Resistance	火属性耐性・小
10069	Low-Tier Magic Attack	初級魔法攻撃
