Index	English	Japanese_Translation
23001	Guild Military Supplies are about to exceed the limit. Any excess will be discarded. Continue?	ギルド軍需物資が上限を超えそうです。上限を超えた分は破棄されます。続行しますか？
23002	The vehicle restores a total of ${2}% HP over ${1} sec. Destroyed sections cannot be restored.	車両は${1}秒間で合計${2}%のHPを回復します。破壊された部位は回復できません。
23003	Osiris throws several ^{1}Horongs^{2}. Upon landing, they ^{3}explode and remain in place^{4}.	オシリスが複数の^{1}ホロン^{2}を投げます。着地すると^{3}爆発し、その場に留まります^{4}。
23004	First, check out the Suggested Preset I made for You, bobo. You can't go wrong with my advice~	まずはボボが作ったおすすめプリセットを見てみてよ。ボボのアドバイスなら間違いないボ～
23005	Oh, please don't be so nervous. I'm Spratzi, and I welcome Novices arriving at the South Gate.	そんなに緊張しないでください。私はスプラッチ。南門に到着したノービスを案内しています。
23006	I'm also a freshman receptionist at Criatura Academy. Rest assured, I'm not anyone suspicious.	クリトゥラ学園で新米受付係もしています。怪しい者ではありませんのでご安心ください。
23007	You came at just the right time! I've got a fresh batch of treasures, still hot off the forge!	ちょうどいいところに来たな！鍛え上がったばかりの新しいお宝が入荷したところだ！
23008	I thought I saw my mother. She should be in the Mjolnir Mountains. I must be dreaming again...	母さんを見た気がした。母さんはミョルニール山脈にいるはずなのに。また夢でも見ていたのかな……
23009	We're looking for curious and courageous Adventurers. Brave souls, come take on the challenge!	好奇心と勇気にあふれた冒険者を募集しています。勇気ある者よ、ぜひ挑戦してください！
23010	Honestly, Alberta is so far away. It's such a pain that I can't pick up the items I ordered...	アルベルタって本当に遠いんだよな。注文した品を受け取りに行けないなんて面倒だ……
23011	Ugh, that place sounds terrifying. Let's wait for Boya and Wuhler to return, then go together.	うわぁ、そこってすごく怖そう……。ボヤとウーレが戻るのを待って、一緒に行こうよ。
23012	Huh? No wonder they found us. Louie, Katie says these people have its bow tie! How despicable!	えっ？そりゃ見つかるわけだ。ルイ、ケイティが言ってる。この人たち、あいつの蝶ネクタイを持ってるって！なんて卑怯なんだ！
23013	Help Me move this instrument beside the base of the Stone Pillar. Handle it with extreme care.	この装置を石柱の根元のそばまで運ぶのを手伝ってください。くれぐれも慎重に扱ってくださいね。
23014	Something in the abyss seems to be watching you... (Only the Party Leader can select a target)	深淵の何かがあなたを見つめているようだ……（ターゲットを選択できるのはパーティリーダーのみ）
23015	Eden Group Leader\nThis is bad. Their ship is getting closer. Wuller, Boya, prepare to defend!	楽園団団長\nまずい。奴らの船が近づいてくる。ウーレ、ボヤ、防衛準備だ！
23016	The "Geneticist" is considered T@{1} for MVP battles because the class has the highest max HP.	「ジェネティック」は最大HPが最も高いため、MVP戦ではT@{1}として扱われます。
23017	A specialized mold for crafting advanced rings and accessories imbued with blessed properties.	祝福の力を宿した上級リングやアクセサリーの製作に用いる専用の型。
23018	Iron strengthened by repeatedly soaking it in a special Potion. Can be exchanged for Headwear.	特殊な薬液に何度も浸して強化した鉄。頭装備と交換できます。
23019	Tap a note button to change its note. Play the correct melody to increase collection progress.	音符ボタンをタップすると音が変わります。正しいメロディーを奏でて収集進捗を上げましょう。
