Index	English	Japanese_Translation
3001	My Auctions	私のオークション
3002	Current bid	現在の入札額
3003	Bidding Cap	入札上限
3004	Final Price	最終価格
3005	Style +${1}	スタイル +${1}
3006	Select Plan	プランを選択
3007	Warrior III	戦士Ⅲ
3008	Eligibility	資格
3009	7-8 Players	7～8人のプレイヤー
3010	First Match	最初の試合
3011	Daily Quest	デイリークエスト
3012	Quest Items	クエストアイテム
3013	Event Items	イベントアイテム
3014	Class Mount	クラスマウント
3015	Sage Branch	セージブランチ
3016	Bard Branch	吟遊詩人の枝
3017	Dancer Line	ダンサーライン
3018	Rogue Class	ローグクラス
3019	Two Affixes	2 つの接辞
3020	Payon Areas	フェイヨン地域
3021	Job Talents	職業タレント
3022	Tavern Gift	酒場の贈り物
3023	Collector's	コレクターズ
3024	Need a Tank	タンクが必要です
3025	Current Job	現在の職業
3026	Skill-Based	スキルベース
3027	Transfigure	変身
3028	Thunderclap	雷鳴
3029	Flame Storm	フレイムストーム
3030	Flame Combo	炎コンボ
3031	Exit Turret	砲台から降りる
3032	Sword Smash	ソードスマッシュ
3033	Spell Smash	スペルスマッシュ
3034	Arrow Smash	アロースマッシュ
3035	Staff Smash	スタッフスマッシュ
3036	Blade Smash	ブレードスマッシュ
3037	Vast Wealth	莫大な富
3038	Crit Chance	クリティカルチャンス
3039	Progression	進行状況
3040	Cotton Tuft	コットンタフト
3041	Woolly Moss	ウーリーモス
3042	Spirit Silk	スピリットシルク
3043	Sacred Silk	神聖な絹
3044	Purple @{1}	紫 @{1}
3045	Orange @{1}	オレンジ @{1}
3046	Bright Star	ブライトスター
3047	Suffocation	窒息
3048	Forced Stun	強制スタン
3049	Interaction	インタラクション
3050	War Machine	ウォーマシン
3051	Mithril Ore	ミスリル鉱石
3052	Grandmaster	グランドマスター
3053	Niu Niu Niu	牛牛牛
3054	BTN_RESTART	BTN_RESTART
3055	Connect@{1}	@{1} に接続してください
3056	(Collected)	(回収済み)
3057	Totem Skill	トーテムスキル
3058	Healing Cap	ヒーリングキャップ
3059	Defense Cap	ディフェンスキャップ
