Index	English	Japanese_Translation
25001	Sohee grants the master a shield equal to the master's Max HP*^{1}${1}%^{2}. While the shield persists, damage taken is reduced by ^{3}${2}%^{4}. Lasts ${3} seconds.	ソヒーが主人に、主人の最大HP*^{1}${1}%^{2}に相当するシールドを付与する。シールドが持続している間、受けるダメージが^{3}${2}%^{4}軽減される。持続時間：${3}秒。
25002	When casting 【Cross Ripper Slasher】, the blade transforms into a disc of light, and 【Cross Ripper Slasher】's percentage damage multiplier increases by ^{1}${1}%^{2}.	【クロスリッパースラッシャー】発動時、刃が光の円盤へと変化し、【クロスリッパースラッシャー】の割合ダメージ倍率が^{1}${1}%^{2}増加する。
25003	Spear-exclusive skill. Attacks with a Spear, dealing Neutral Ranged Physical damage equal to PATK * ^{1}${3}%+${4}^{2} to the designated ST enemy within ${1} meters.	槍専用スキル。槍で攻撃し、${1}m以内の指定した単体の敵に物理攻撃力*^{1}${3}%+${4}^{2}の無属性遠距離物理ダメージを与える。
25004	You handle that Mount well. It looks like you're Ready to take on more advanced assignments. So tell me, what Difficulty would you like to start your adventure with?	その乗り物、ずいぶん上手く乗りこなしているな。もっと上級の任務にも挑めそうだ。さて、冒険はどの難易度から始めたい？
25005	The Realm Sandbox selects heroes, while the Nail of Cosmic Law stabilizes spacetime... And your compass can gather echoes of souls to restore life to the World Tree.	世界サンドボックスが英雄を選び、宇宙法則の釘が時空を安定させる……そして君のコンパスは魂の残響を集め、世界樹に生命を取り戻すことができる。
25006	Ghost damage dealt increased by ^{1}@{1}%^{2}, 【Soul Burst】 Cooldown reduced by ^{3}@{2}%^{4}, and 【Psychokinetic Orb】 gains an Extra ^{5}@{3}^{6} floors per second.	与える念属性ダメージが^{1}@{1}%^{2}増加し、【ソウルバースト】のクールダウンが^{3}@{2}%^{4}短縮され、【サイコキネティックオーブ】が毎秒追加で^{5}@{3}^{6}スタック獲得する。
25007	When the party includes @{1} Members of different classes, each Member gains an Extra bonus: Damage to Bosses +^{1}@{2}%^{2}; damage taken from Bosses -^{3}@{3}%^{4}	パーティに異なる職業のメンバーが@{1}人いる場合、各メンバーが追加ボーナスを獲得：ボスへの与ダメージ+^{1}@{2}%^{2}、ボスからの被ダメージ-^{3}@{3}%^{4}
25008	Defeating the corresponding monsters on the following maps will count:\n@{1}.【Prontera Underground Culvert Floor @{2}】\n@{3}.【Prontera Underground Culvert Floor @{4}】	以下のマップで対応するモンスターを倒すとカウントされます：\n@{1}.【プロンテラ地下水路 @{2}層】\n@{3}.【プロンテラ地下水路 @{4}層】
25009	Defeating the corresponding monsters on the following maps will count:\n@{1}.【Pyramid Maze Floor @{2}】\n@{3}.【Pyramid Maze Floor @{4}】\n@{5}.【Pyramid Maze Floor @{6}】	以下のマップで対応するモンスターを倒すとカウントされます：\n@{1}.【ピラミッド迷宮 @{2}層】\n@{3}.【ピラミッド迷宮 @{4}層】\n@{5}.【ピラミッド迷宮 @{6}層】
25010	Remove this order? Once confirmed, the order will be removed, all pending requests will be rejected, and the guild supplies in the order will be returned immediately.	この注文を削除しますか？確定すると注文が削除され、処理待ちの申請はすべて拒否され、注文内のギルド物資は直ちに返却されます。
25011	If you equip a one-handed weapon, the card in the two-handed weapon slot, <color=#CC762A>${1}</color>, will become <color=#CC762A>inactive</color>. Replace your gear?	片手武器を装備すると、両手武器スロットのカード<color=#CC762A>${1}</color>が<color=#CC762A>無効</color>になります。装備を変更しますか？
25012	Pharaoh's Coffin ^{1}periodically selects a player^{2} and pulls the selected player inside. Be sure to ^{3}break the coffin before it sinks^{4} to rescue the player!	ファラオの棺は^{1}定期的にプレイヤー1人を選択^{2}して棺の中へ引きずり込む。プレイヤーを救出するには、^{3}棺が沈む前に必ず破壊しよう^{4}！
25013	Moonlight Flower launches @{2} sound waves toward the target^{1}@{1} times in succession^{2}, damaging targets hit. Hitting a Bell causes^{3}the Bell to resonate^{4}.	月夜花がターゲットに向けて音波を@{2}発、^{1}@{1}回連続で放ち^{2}、命中した対象にダメージを与える。鈴に命中すると^{3}鈴が共鳴する^{4}。
25014	Drake summons waves at^{1}@{1} random locations on the battlefield^{2}. The waves surge at irregular intervals,^{3}damaging targets in their area when they surge^{4}.	ドレイクが^{1}戦場内のランダムな@{1}箇所に波を召喚する^{2}。波は不規則な間隔で押し寄せ、^{3}押し寄せるたびに範囲内の対象へダメージを与える^{4}。
25015	An item you removed from the Trade Marketplace could not be returned because your Backpack was full. It has been sent by mail, so please claim it from the attachment.	取引所から取り下げたアイテムはバックパックが満杯だったため返却できませんでした。メールで送付しましたので、添付ファイルからお受け取りください。
25016	Miss Smile was also complaining a few days ago. She said monsters keep intercepting the Jellopy she uses to make masks. Could You ask her about it while you're there?	数日前にはスマイル嬢も困っていたよ。仮面作りに使うゼロピーが、モンスターに何度も奪われると言っていた。向こうへ行くなら、彼女にも話を聞いてくれないか？
25017	So You're the Adventurer Miss Smile mentioned. This ancient Stone is indeed a fragment of the seal. The weakening seal is what caused the monsters to become agitated.	あなたがスマイル嬢の話していた冒険者ですね。この古代の石は確かに封印の欠片です。封印が弱まったせいで、モンスターたちが騒ぎ始めたのです。
25018	Tell You what—I'll prepare a gift for You first. But monsters have been appearing along the delivery route Recent, so clear them out before they trample the gift box.	そうだ、まず君への贈り物を用意しておこう。ただ最近、配送ルートにモンスターが出るようになったんだ。プレゼント箱を踏み潰される前に、あいつらを片付けてくれ。
25019	Haha, you really know how to hold a grudge, Shorty. But this is no time for Chitchat. We need to hurry back to Payon and deliver these items to that crooked merchant.	ハハッ、根に持つなあ、チビ助。でも今はおしゃべりしてる場合じゃない。急いでフェイヨンへ戻って、この品をあの悪徳商人に届けないとな。
25020	I'll leave the Find the Professor Quests to you for now. I need to report the White Dove's major accident to headquarters. Once that's taken care of, I'll rejoin you.	教授の捜索任務はひとまず君に任せる。私は白鳩号の重大事故を本部へ報告しなければならない。それが済み次第、合流するよ。
25021	As for everything else... I can't tell you much right now. All I can say is that everything you've experienced so far is merely the first measure of a grand symphony.	それ以外のことは……今はあまり話せない。ただ一つ言えるのは、これまで君が経験してきたすべては、壮大な交響曲のほんの第一小節にすぎないということだ。
25022	The evening before last, a caravan from Juno was attacked by Baphomet Nearby the Hidden Forest. That damned Monster is still occupying the area and blocking the road.	一昨日の夕方、ジュノーから来た隊商が隠れ森の近くでバフォメットに襲われた。あの忌々しいモンスターは今もその一帯を占拠し、道を塞いでいる。
25023	A coat made from soft animal fur. It has drawn heavy criticism from conservation groups, so please be kind to animals. Comes with a powerful defensive special effect.	柔らかな動物の毛皮で作られたコート。自然保護団体から激しい批判を浴びているので、動物には優しくしましょう。強力な防御系特殊効果付き。
25024	Coins minted by Kafra exclusively for the competition. Named after the kaka sound heard during minting. Can be exchanged for items at the shop during the competition.	大会専用にカプラが鋳造したコイン。鋳造時に聞こえる「カカ」という音から名付けられた。大会期間中、ショップでアイテムと交換できる。
25025	Concentrates the breath of the earth, with a ^{1}${1}%^{2} Chance to inflict ^{3}^{4}【Petrify】^{5}^{6} on the designated ST enemy within ${2} meters for ${3} seconds.	大地の息吹を凝縮し、${2}m以内の指定した単体の敵に^{1}${1}%^{2}の確率で${3}秒間^{3}^{4}【石化】^{5}^{6}を付与する。
25026	Gathering Fluffs seems easiest. No talking, no Connect, just keep my head down and swing my sword... (Counts on fingers) Defeating about @{1} Fabres should be enough.	綿毛集めが一番楽そうだな。会話も連絡もいらない、黙って剣を振るだけ……（指を折って数える）ファブルを@{1}匹ほど倒せば十分だろう。
25027	(Blushes to the tips of his ears) L-L-Long ears?! Instructor Boya likes little bunnies? That's so adorable... If I dressed as a bunny for patrol, would she notice me?	（耳の先まで真っ赤になって）な、な、長い耳？！ボヤ教官は小さなウサギが好きなの？かわいい……僕もウサギの格好で巡回したら、教官に気づいてもらえるかな？
25028	Shield skill. Move toward the target and deal Holy Melee Physical DMG equal to PATK * ^{1}${1}%^{2} to up to ${4} enemies in a ${5} * ${6}-meter area in front of you.	盾スキル。ターゲットへ移動し、自身の前方${5}×${6}mの範囲内にいる最大${4}体の敵に、物理攻撃力*^{1}${1}%^{2}の聖属性近接物理ダメージを与える。
25029	Summon a Rescue Wagon Nearby. It can Revive Teammate during its duration and is the party's only Other Skill capable of Revive, allowing it to turn the tide of battle.	近くに救援馬車を召喚する。持続中は仲間を復活させることができ、パーティ内で復活が可能な唯一のその他スキルとして、戦況を覆す力を持つ。
25030	Feel free to participate in the following Misc activities. Your top 【three Misc activities】 during the Dragon Boat Festival will automatically be selected for rewards.	以下のその他アクティビティには自由に参加できます。端午の節句期間中、成績上位の【その他アクティビティ3種】が自動的に報酬対象として選ばれます。
25031	Log in for a total of @{1} days during the event to unlock all check-in rewards! Remember to claim them manually each day. The grand prize awaits you on the final day!	イベント期間中に累計@{1}日ログインすると、すべてのログイン報酬が解放されます！毎日忘れずに手動で受け取りましょう。最終日には豪華大賞が待っています！
25032	When ^{1}^{2}【Arrow Attack】^{3}^{4} hits an enemy, it deals ${1} Extra hits of ${2}%+${3} Neutral Ranged Physical damage to the enemy. Internal Cooldown: ${4} seconds.	^{1}^{2}【アローアタック】^{3}^{4}が敵に命中した時、その敵に追加で${2}%+${3}の無属性遠距離物理ダメージを${1}回与える。内部クールダウン：${4}秒。
25033	Increases ^{1}^{2}【Basic Attack】^{3}^{4}'s percentage damage multiplier by ${1}% and fixed damage by ${2}, and extends the duration of Magnum Break's buff to ${3} sec.	^{1}^{2}【通常攻撃】^{3}^{4}の割合ダメージ倍率が${1}%、固定ダメージが${2}増加し、マグナムブレイクのバフ持続時間が${3}秒に延長される。
25034	Drake simultaneously summons^{1}a full row and column of ghost ships^{2}. The ghost ships quickly surge forward in sequence, damaging^{3}targets along their paths^{4}.	ドレイクが^{1}縦一列と横一列の幽霊船を同時に召喚する^{2}。幽霊船は順番に素早く突進し、^{3}進路上の対象にダメージを与える^{4}。
25035	I heard animals sometimes suffocate in airship cargo holds, so I specifically hired a company that transports animals overland... What do I do? What am I going to do?!	飛行船の貨物室では動物が窒息することがあると聞いたから、わざわざ陸路で動物を運ぶ会社に頼んだのに……どうしよう？どうすればいいんだ？！
25036	We didn't uncover much in the way of a Clue during our interviews... You should visit them yourself. You may Discover some detail in their accounts that we overlooked.	聞き込みでは大した手がかりを得られませんでした……ご自身で彼らを訪ねてみてください。私たちが見落とした細かな点を、彼らの話から見つけられるかもしれません。
25037	The battle at Prontera South Gate has intensified! The enemy is trying to break through the outer defenses. All combat-ready personnel, reinforce the South Gate first!	プロンテラ南門での戦闘が激化しています！敵は外郭防衛線を突破しようとしています。戦闘可能な者は全員、まず南門へ増援に向かってください！
25038	An official certificate issued by the workshop, signifying that the holder has passed the Job Advance assessment and is qualified to independently pursue a Life Skill.	工房が発行する公式認定証。所持者が転職審査に合格し、生活スキルを独立して修める資格を得たことを証明する。
25039	Launches @{5} cannon rounds at @{2} designated enemies within @{1} m and up to @{4} other enemies within @{3} m of them, dealing a total of ATK * ^{1}@{6}%^{2} damage.	@{1}m以内の指定した敵@{2}体と、その周囲@{3}m以内の追加の敵最大@{4}体に砲弾を@{5}発放ち、合計で攻撃力*^{1}@{6}%^{2}のダメージを与える。
25040	Controls the target for ${1}s, dealing damage equal to ${2}% of its Max Life each second. If the target dies during this time, restores ${3}% of the caster's Max Life.	対象を${1}秒間制御し、毎秒その最大HPの${2}%に相当するダメージを与える。効果中に対象が死亡すると、術者の最大HPの${3}%を回復する。
